mensagem,odio
pena ser época General Pinochet lamentavelmente deixar sobrar resquício desgraça,0
cair Brasil precisar,0
tar revelar corrupta governo gente tar realmente ver honesto prestar,1
FalouBacheria Brcelet ser querer chamar raposo velhaco,1
Bandidona pilantrona leitinho acabar,0
Hipooooooócrita senhoura,0
Exato escrota,0
pilantra,0
farinha saco nojo de esse político,0
senhora currupta igual amiguinho PT,0
aparecer Internacionarizaram propina corrupção pena Brasil pena de ela afinal ficar recurso ilícito,0
Devolva dinheiro,0
Pq SAFADA igual 9 dedo,0
Terrorista FDP,0
noção Brasil corrupta,0
pena senhorinha,0
Houve Brasil receber milhar chileno vir arrumar emprego Brasil brasileiro receber braço abrir mundo esquecer rápido outro comunista achar tremenda corrupta,1
TINHA PENA BRASILEIROS MORRERAM CORREDORES HOSPITAIS PÚBLICOS CAUSA ROUBALHEIRAS CURRUPTOS VELHA CANALHA PAE ESQUEMA Á OAS,0
nojentar,0
oq vc pensar comunista corrupta vc dever cadeia,0
Enfia pena rabo velho nojentar,1
único esquerda rosnar,1
OQUE BACHELE FALA KKKK PESSOA ENVOLVE MARACUTAIA ROUBAR PERDE PRONTO ACABOU,0
cuidado quintal próprio casa sujo dinheiro propina,1
resposta senhora dinheiro devolver VA LASCAR esquecer BRASIL ir cuidar problema,1
JA DIZIA SANTO JOÃO BATISTAHIPOCRITAS RAÇA VIBORASENDIREITAI CAMINHOSO Messias,0
mostrar compaixão devolver dinheiro receber MOLUSCO,0
safada Dinheiro gostar né pena roubar Brasil,0
ah tá penaDiz vim doar alimento roupa asilosorfanato desabrigar hospital conta propina receber lugar deficiência Tudoisso PR mandar vênus,0
penascom,0
OH BACHELET RECEBEU PROPINA OAS BRASILEIROS PATRIOTAS ESTAMOS ENTENDENDO TRISTESA ACABOU MAMATA CANALHAS,0
pORCAr LODO,0
Brochelet cara corrupta quadrilha lulaladr,1
Secou fonte pilantra Devia cadeia esquerdista cara pau,1
aCABOUr MAMATAAA,0
Velha ridículo bandida porca,0
CLARO PENA JUNTO LULADRÃO SUGARAM DEVERIA VERGONHA CARA DEVOLVER DINHEIRO LEVOU,0
esquerdopatas mentar virar verdade lema de ele,0
SENTE PENA REMUNERADA PRA ISSONÃO PRECISAMOS GENTE SINTAM pENA PAÍSE AFASTEM DELE DINHEIRO,0
muito hipocrisia propina,1
Ta pena Devolve propina,0
comunista hipócrita nojento lixo,1
DEVERIA DEVOLVER DINHEIRO COFRES PÚBLICOS Brasil,0
canalha,1
pagar pra sentir pena contribuir usufruir roubo,0
imbecil falar cachorro cagar mesmo,1
vergonha,0
esquerda asqueroso corrupto,1
cara CÍNICA,0
zambelli senhor pena Brasil sangue mão nação dinheiro corrupção matar cidadão dinheiro desviar segurança saúde educação gente classificar genocida acabar nação inteiro ideal ficar rico dominar pessoa escravos dir mau terrorista terrorista matar nome religião justifique chegar pior corrupto safar Deus livre cambada articular integral destruição,1
Propineira pena pq mamata acabar,0
pena pq tar receber propina bandida,0
cala boca vaca velho Venezuela,1
bandido organização criminoso luladrao aceitar presidente Bolsonaro bom aceitar dóir,1
coitada credibilidade nao,0
lixo heim,1
Mande nojentar pra Cuba,0
atuar precisar postura comportamento,0
propina receber OAS pena receber,0
vagabunda ordinário velho dó capeto cuidar bunda velho esclerosado,1
pena Brasil Cuba ininteruptamente tentar interferir democracia Amiga comunista sujo Amiga Fidel Castro rato ditador assassino hoje ocupar cargo ONU condizr caráter convicção político,1
BRASIL BOLSONARO VENEZUELA LIXO,0
ladra morfético,0
Barchelet catar coco Esquece,0
DONA BACHELET SENHORA DEVIA PENA VERGONHA CARA VIM ROUBAR DINHEIRO BRASILEIRO VERGONHA SENHORA BACHELET,0
Brasil ser saquear PT,0
Safada ONU valer,0
vagabunda dever pena propina levar tirar hospital inteiro Brasil,1
esquerdista inferno,0
sai vaga vagabo,0
safada caráter,0
171,0
enfie pena de ela devolva dinheiro,0
ja quadrilha,1
Hipócrita senhorinha Bachelet,0
vergonha tratar País Bolsonaro,0
velho escrota MERDA,0
devolva propina parar meter nao chamar brachelento,1
vagabunda roubar Brasil tar pena ir fuder,1
pena roubar Brasil quenga velho,0
conhecor vagabunda,1
pilantra vadia,1
devolva dinheiro,0
vagabunda fingir,1
Bachelet pena de ela receber dindin imposto Hipócrita corrupto,0
Hipocrisia Pura,0
Veia safar,1
pena de ela exatamente pq receber propina,0
,0
Vagabunda Cala boca imundo pra falar País,1
Velha vergonha vagabundo,1
precisar pena ninguém desqualificada guarde muito pena pra se mesmo,0
fonte secar propininha,0
comunista Voces achar igual ladrão pt,1
mulher babaca cuidar Chile estúpido,1
pena Brasil qué ser pensar corrupta tentar pessoa íntegra correto passar vigarista,1
ser querer devolver dindin propina,0
lixo pena propina andar ganhar ilicitamente,1
Percebem bandido gestão convidar trabalhar ONU ser,1
Bruxa ladrar dozinferno,0
HIPÓCRITA,0
bandida defender colega bandidagem,0
canalha esquerdopata brasileiro precisar condolência bandida,1
mau pai,1
pena vc devolva,0
Devia pena pq parceria corrupção,0
mulher nojentar,1
desonesto meter sela,1
pena milhão conta tranbiqueira,0
opinião de ela procurar turma,0
dissimulada mamata acabar Governo Bolsonaro colocar devido lugarSemcorrupção bandidagem chorar,0
né dinheiro OAS esquecer pena Brasil cínico,0
velhinha safar senil alguém faça gentileza calar canalha suportar cara de esse hipócrita Bachelet Macron Maduro petralha,1
vagabunda falar,1
cara bandida,0
pena Brasil saudade Bagaçeira,0
abstinência propina criar pena kkkk,0
Pq PILANTRA LULADRÃO DIMANTA,0
perguntar opinião de ela interessar VAZA OMELETE PODRE,0
Deixe hipocrisia comedor propinaVocê tá sentir dir cair conta,1
idiota precisar pena de ela,1
leguar pena de ela fazer travesseiro pra conseguir dormir aceitar dinheiro sujo,1
viver comunismo triste hora dinheiro acabar trabalhar,1
mulher idade dever aprendir vergonha cara,1
esquerdopata imbecil conseguir ouvir Chile terra,1
Q velho ordinário Esquerdalha mesmo face,0
SSA senhora defender PT NOJO,0
sujo adorar dinheiro alheio,1
vagabundo,1
feio cuidar casa,1
galinho Pena Q,0
Clínica esquerda demoníaco,1
velha gagá FDP,0
falso heinAcabou Mamataquer dinheiro ir trabalhar,1
espuma Ficar muro vento soprar biruto,0
LADRA,0
Hipócritavai procurar turma BRASIL precisar pena,0
Receber propina envergonhar Bachelet,0
cara pálido devolver dinheiro propina Brasil,0
Nojenta Lava boca pra falar presidente,0
ah tá pena Devolve dinheiro,0
pena mulher feio caráter duvidoso,1
louco falar,0
dispensar pena sra Michele BacheletTemos Misericórdia pobre espírito manipular pobre,1
receber dinheiro ilegal propina imposto suar Hipócrita,0
pena pq boquinha secar né socialista merda,1
Coitadinha ninguém ligar pra,0
Hipócrita Esquerda,0
ouvir sujeita de esse falar sinal estar certo gostar Brasil receber mesada dinheiro fruto roubo,0
Tenha pena mesmo imbecil,1
ninguém preocupado pena de ela bom cuidadar pai de ela,0
Otária BABACA,0
achar bacano socialismo morar Venezuela Cuba Coreia Norte Hipocrisia,0
vagabunda safar,1
cínica ficar falar abobrinha,0
típico gente cara pau,1
ter pena qndo tirar hospital Brasilpra continuar defender bandido,1
caso polícia FBI CIA vigarista ladra igual DILMA CRISTINA KIRCHNER ARGENTINACRIME ORGANIZADO,1
pilantra comunista oportunista,0
Bachelet fazerSugestão vau catar coquinho,0
vaca véia mau sentido palavra,1
cuidar quintal gente cuidacorrupta,1
comunista vagabundar,1
Cretina Hipócrita,0
BANDIDA,0
Pq safada,0
Pq criminoso foro Paulo,1
cara horroroso senhora,0
defender Lula igual elecorrupta,0
esquerdista cara pau bastar Brasil,1
pena Brasil dividir população brasileiro propina receber OAS,0
bandida safar comunista corrupta Brasil Lixo,1
revelar podre de esse ladrão pátria algum falar,1
puta dó Venezuela,1
Penalizada Venezuelano envergonhar receber propina,0
LIXO Lixo iDIOTA,0
ONU mau esquerda mundo atualmente,1
vergonha mundial moral pra falar Brasil,0
Velha canalha,1
Vagabunda vergonha,0
bandida corrupto ta falar presidente velho idiota,1
dindin pra acabar,0
Corrupta formiga ladrão ONU,1
ridículo ter pedir desculpa presidente,0
sério Engraçado invadir Polônia Nazistas comemorar invasão Fascista falar né,0
celebrar morte milhão judeu estúpido nojento,1
NAZISTA SAFADO FILHO PUTA DOUTRINAR CRIANÇA PUTA PARIU,0
doente invasão Polônia marcar início guerra mundial milhão pessoa matar torturar,1
doente achar motivo Comemorarnão cansar passar vergonha achar aula you tube funcionar,0
inteligente pista kkkk galera contar saber ser burra guerra opis,1
gente burra ato solene comemoração ato lembrar fato homenageiar refugiado Polônia Brasil pesquisa falar merda,1
lamento pequenez,0
comentário gente perceber normal esquerdopata ser né,1
Brasil tornar ditadura corrupto estar assistir congresso desrespeitar executivo STF fazer barbaridade pra soltar bandido culpa culpa brasileiro inerte casa ficar marcar encontro domingo sol corrupto vâo tomar vergonha cara punir comessar pensar greve país parar verdade acontecer ir ficar assistir vergonha chegar impunidade poder presidente congresso câmara vergonha,1
tomar cu miliciano inveja PT,1
NAZISTINHA ESCROTO CARALHO,0
pai safado,0
Lula dar pé bunda ummonte mulher governo de ele pra acomodar homem velho indicar 2 ministro homem STF falar igualdade kkk eleitor PT entender impor igualdade privilégio viver kkkk vc jurar PT defensor ditador ditadura partido democrático kkk,1
cara morar prisão,0
Eduardo moleque,0
Colonialista merda,1
bosta pai ficar demorar pra vetar abuso autoridade pra mandar exercito congresso bosta coisa,1
Sugestão Bolsonaro convoquar Forças Armadas fazer invasão Amazônia Expulse ONGs estar ilegal Grave queimada garimpo ilegal índio contrabar pista aterrissagem clandestino Grave Convoque cadeia rede nacional horário nobre revelar adiantar esperar honestidade setor derrotar último eleição Aja perder controle ação Cadê militar estudar estratégia aprendir articulase país insurreição governo Napoleão esperar chuva passar ataque Waterloo dia seguinte perder batalha alô perceber estar préconvulsão social dado indicar tentativa derrubada governo Saco ir ficar postar texto acabar ficar repetitivo articulação esquerdista ganhar terreno,0
família Bolsonaro apostar farinha msm saco macron atear fogo Amazônia pra atacar governo ir preparar bendito ser nação temer Senhor Macron va f,0
capita querer comer cusinho chamar,1
postura criança ensino lacracao criança usar shortinho dançar funk ameaçar professor sala aula esquerda incentivar último 15 ano,1
lindo gente conhecer Políticos LADROES IMAGINAVAM EXISTIAM TANTOS saber entrar alguém exercito dar dar tirar verba Vagabundos SOBRAR BRASIL MULAS FALAM ESQUERDA DEUS BURRiCES VENDO REALIDADE ACEITAM CRIMES INVADINDO RESPONSÁVEIS BRASIL ACORDARAM NINGUÉM VIROU P ESQUERDA FINGIRAM NAIO ENTENDER BANDIDOS AGINDO JUNTOS 0S BANDIDOS ESQUERDA PCC VIU MULAS QUETEM FOCAM BRASIL,1
ninguém quebrar mesa né vazar de aqui playboy filho puta,1
muito saúde João gordoma misturar gente vc contaminaesses petralhar prestar,1
presiBozo p manicômio Fdp,0
né cara dó,0
instruir Caia ñ pessoa vc,1
Vc ñ cair Va seguir jegue,0
pra competencia Ô Medão,0
cara trabalhar,0
João traidor movimento,1
realmente handrade kkk lembrar slogan campanha Lula Haddad Haddad Lula hahhahaha condenado,0
Coitado Jão gordo fracassar,0
mulher vc casado Alguém mulher homem normal amado amargo triste focado levar elevar derrocar fia gastar precioso procurar boy negar daí perder inventar coisa mentir descaradamente dmsegar vc idoso caldo,1
Vou verme,0
RIDICULO BABÕES ATUAL PRESIDENTE VIR HASTAG BURRO HOJE GOVERNA PAÌS,0
baiano voltar desgraça PT graças Deus libertar praga Bolsonaro verdadeiro presidente bom Brasil Chupa esquerdalhas Lula quadrilha estirpados política Brasil parabéns prefeito governador,1
informar narrativa pegar exatamente democracia Brasil lutar encontro ditadura desgoverno comunista vir falácia barato esclarecido saco cheio PT,0
programa Lula Sugestão nome Sol Quadrado,0
difícil escroto,0
ai roubar prefeitão sPkkkk,0
aproveitar regime fechar tar porta,0
presidente vcs condenar Caixa 2s,0
Amazônia professor pra limpar agenda pra focar emergência algum útil voto país precisar dar palestra entrevista Amazônia queimar Pq vcs encontro g20 representar Brasil bozo servir pra Bate porta falar vir ajudar campanha Façam algum útil porra,0
comentar condenação péssimo gestao frente prefeitura derrota novato Joao Doria ignorante xucro JB,1
abaixo twiter Dinesh DSouza criança principalmente menina branco nórdico trança bochecha vermelho ser frequentemente usar propaganda nazista velho técnica Goebbels progressista hoje aprender jogo esquerda anterior década 1930,1
esquerda precisar unir pra mudar rumo situação país país ser destruir demente presidente dor desolação destruição Amazônia precisar tomar algum atitude monstro precisar derrubar,1
Kkkkkkk condenar caixa 2 pqp nao,0
condenar 45 ano Caixa doiskkkkkkkkkk,0
Aoooo Caaixa 2 kkkkkkk,0
dor olho Haddad dou conta poderíar têlo presidente intelectual professor simplicidade incrível acima humano invés lunático despreparar incapacitar intelectualmente ditatorial autoritário fascista desrespeitosoafff continuar ficar 3 dia adjetivar besto fera,1
hora morar LULA tar chegar,0
ansiso pra grade,0
falar besteira idiotice porcaria,1
doente,0
Manuela Imaginei vc ser inteligente pequeno ter empatia á Roraima passar venezuelano fugir fome remédio Imagina quantidade venezuelano preferir deixar casa pra país estrangeiro morar rua submetir situação deplorável enxergar mundinho comunista Parabéns HIPOCRITA,0
gente aguento palhaçada cara gente achar engraçado Ridículo Vergonhoso,1
imbecil cansar falar asneira,1
bolha falador merda passar limite so5de nascer,1
pior falar monte asneira bando asno chuva estrada frio porra pra ouvir idiotice bater palma,1
miliciano fdp,0
vitória esquerda Argentina cocô RACISTA parar sair dia trancar,1
moral parar sensatez Kirchner esquerdo corrupta pra caralho,1
puta parir Imbecilidade Dele elegeu,1
Aja paciência ouvir babaquice ouvido pinico uff,0
conseguir falar prestar cara Senhor,0
interdição praga,0
Manu ataque Bozonarianos vc certo notar lixo humano literalmente cagar preferir Venezuelanos Hermanos doido votar maluco fascista miliciano família bandido,1
profeta estúpido preocupar turma Tramp manipular eleição,1
ser q Bozo filho tb fraudar eleição Argentina,1
merda ambulante,1
PPELO AMOR DEUS ALGUÉM CANCELA CARA GENTEEEEE ALGUÉM VOTADO ESTRUME VACA PODRE,0
Borsa bosta,1
restar aceitar Sr Caga boca,0
certo monte argentino faminto invadir,0
lixo vomitar bosta incapaz,1
vivo esquerdalha,0
certo Cristina eaquerda falar super corrupta mau Macri Bostonaro,1
peste falar merda,1
Q merda Ah Bozo abrir boca,1
moço triste sujeito anormal,1
Hahahaha Sofrendo respeito foda,1
Manuela resumo prestar mundo prestar desserviço sociedade brasileiro Pegue coisinha saia mansinho,0
quanta besteira dizer imbecil,1
aguentar nojento,1
desrespeitar país Norte Sul Ponham homem pra ser digno posto ocupar,0
terrorismo preconceito RORAIMA,1
ficor palavra pra loucura pessoa,1
Pensei crazy conhecer bolsofurado bolsofã de ele sã gostar,1
LIXO COMPROVADAMENTE,0
besteira vir boca insano,1
pra mercado conhecer tamanho desastre acontecer caso Macri vencer eleição massacre moeda argentino hoje mundo tolerar fracassar tolerar esquerdista bandido Deus salvar Argentina hoje recado planeta terra,1
burro,1
abrir boca dia nenhumIdiota d presidente,0
engolir esquerdalhar,0
presidente louko,0
cara louco Bozó,0
Senhor terrível,0
Mimizenta caralho Roraima haver pessoa fugir pro RS regime esquerda acontecer Roraima Saber torcer pra dê merda dia vejor presa,1
asneira,0
imbecil ver habilidade estáTruculento burro suscitar asco,1
cansar chamálo IMBECIL,0
Deputada massa cinzento fazer separar par orelha constituição manifestação livre ser fazer local público independente autorização Artigo QUINT0 parágrafo XVI Fale lisura parar mentira,1
burro doi,1
perguntem quanto voto energúmeno Roraima poderer compreensão sentir liberdade atrocidade pudor,0
Boçal abrir latrina espalhar merda,1
imbeciloide homi,0
Oh diabo doido,1
falar esquerdalha brasileiro ser centena milhão brasileiro pensar diferente sujeito,0
perder voz né afff,0
ERRO DIZPORQUE VERDADE NAO CAGA BOCA,0
Boca Lixo Tóxico,0
doente dever hospício,0
poder arrumar bosta,1
elemento falar frase insultar desprezar desmerecer algum mulher criar criatura,1
vaca falar concatenar vogal,1
Mi mi mi mi mi mi mi mi Vc vergonha representar RS,0
meliante falar bosta,1
Hahahahaha olhar droga normal,0
pq impressionor quantidade ódio espalhar,0
Venezuelanos correr território brasileiro pedir socorroe esquerdista pensar apoiar filho puta psicopata Falei,1
babaca brincar Argentinoso cara arregar Inglesesta querer arrumar treta país vizinhose achar,0
Xenofóbico de aí Taoquei,0
cara trocar boca fiofó,0
achar cocôpq apoiar acordar perceber mitar matar vergonha,0
especialista dizer torcer eleição Cristina kirchner Alberto Fernández Bolsonada ameaçar eleitor livre Argentina vergonha imprensa descarar burlesca,0
imbecil Cavalo freio,1
olho doir leio oq bobão falar socorrrro,0
demônio falar merda,1
louco maluco,0
droga andar consumir Pqp,0
cara conseguir ninguém chocar merda sair boca de ele ninguém aguentar país comandar lixo humano apoiar 29 maluco,1
nojo homem,0
esperar NAZISTA,0
Gente moral Fodase asneira débil falar ir parar Ibope,0
cavalo batizar Jordão falar merda,1
Kkkkk argentino tapar Minions Brasil viver eguagem verme,0
engraçado cara aparecer fantástico sumir bloquear comentário rede social manipuladora,0
CALESE BOZO,0
panaca falar brasileiro norte imbecil,1
Bozzolino Christina ir volver,0
Venceremos direitalha percar esperança,0
falar merda realidade,1
Real 16 dólar 65 hj dale Macri burro caralho,1
achar sul elegeur imbecil tomar,1
Argentina Macri 50 inflação Bozo asnor falar Argentina tar rir cara Bozo pedir pra ficar calar,0
imbecil inepto,1
Pqp apoiar Cristina ehr q vcs n cerebro Soh cm probabilidade eleicao de ela bolsa cair 28 BC aumentar juro pra 74 aa alem esquema corrupcao mulher ehr suspeito colocar argentina crise absurdo q vcs n pensar n eh possivel,1
q esquerda ehr doente maduro Cristina doença,1
homem ridículo noção ar paciência p ouvir asneira,0
cara evacuar boca,0
Ridículo mentiroso nojento abjeto,1
cara imbecil,1
ir passar 4 ano ouvir bosta,1
estimular ódio ar poluído presença criatura maléfico,1
mau abraço pro Machos beijo Mulheres Escroto,1
cagar bolsadefez,0
Sul ja ta lixo fascista eduardo leite,1
bostonaro desconhecer soberania autonomia povo ser achar país civilizado apoiar candidatura,0
ameaça louco,0
respeita presidente eleger voto Olha preço gasolina Pequena comparação recalcar,0
olho sagram besteira sair boca,1
cm Brasil tornar Venezuela metodo governo ja ditador oprimer adversario presidente achar cabecinha de eles so ideia genial so merda,1
querer esquerda vencer Argentina argentino fugir RS venezuelano imigrar Brasil Roraima Logicamente imbecilidade,1
merda inaugurar obra jamais fazer incompetência inaugurar obra participar invés saudar falar merda Horrivel escroto,1
esquerda teimoso esquecer lixo Deixar falar ninguém ligar pra jeito achar Queiroz calar boca vcs ficar dar audiência pra idiotice,1
Manucomo pra tirar monstro governo Dwpois tanto fala escrotasele ficar assimfazer falar Atacar ninguém pra tirar de aí,1
Pensei ir seguir dica cagar dia dia visto dia cagar chamar boca,0
cara so abrir boca pra falar merda calate,1
cara conseguir passar dia merda,1
Bozo n de ele presidente q meter país,1
Daqui brasileiro migrar pra lugar migração massa governo ridículo autoritário idiota,1
dia impeachment senhor dar,0
Adorei dever abrir boca,0
achar q comentário dia dia dia diarreia verbal tar difícil,0
presidente tosco história,1
traste pensar Brasil quintal casa de ele Aff,1
cara idiota,1
amiga vc ver merda,1
dera gauchada retrógrar abrir olho peão achar fazendeiro,0
campanha pra Argentina tb gado de ele votar,0
mãe de ele ensinar poder comer próprio fez Dar nisso boca moldar formato ânus,1
ranço estocador cocô entender querer Roraima população problema imigrante venezuelano errar governo esquerda Argentina fazer fácil gente emigrar acontecer,1
Maldito congresso Nacional cheio comunista,0
Vou filosofar cocô sair ânus jeito pessoa congresso acumular cérebro,1
NAO CADEIA NEN PRA VAGABUNDOS PRA FAS FAKE NEWS CARAS DOIDOS,0
loucosRevisão Código Penal URGENTE,0
513 cabeça pensar merda pra eu Brasil precisar 175 deputado 54 senador,1
ser Bandido defender bandido,1
q prender petista psolista pcdobir etc,0
convicção esquerda dar tiro pé modus operandi fake News típico esquerdalhada,1
consiger intender força demônio Tá hora botar lixo pra,1
tao esperar q p fechar puteiro,0
congresso valer gato enterrar,0
Deixar esquerda pra cadeia eleição,1
sirva pra esquerdo propulsora fakenews último eleição Denunciar canalha esquerda mídia podre,1
mandar Pais Votamos pra presidente decidir corja merda pilantra,1
vergonha nacional congresso podre turma CANALHAS,0
faltar cadeia pessoal Pt Psol,0
QM temer COMUNISTA NAZISTA AGE IGUAL ACABEI LEMBRANDO D MADURO CUBA,0
disseminar fake news ptfake,0
gente ir deixar Haddad contemplar resto esquerda cana viver publicar Fake News,1
vergonha cupar ELEGERÃO,0
Tá saída Satanaro fugir podes passaporte apreender avião presidencial usar pra fugir dia golpe 08 janeiro Éeeee casa cair pra familicia,0
CORJA MALDITA,0
Prisão dever p Ladrões,0
projeto traíra Kim,0
verdade congresso nacional verdadeiro FAKE NEWS,0
mandar eleger merda,1
faltar cadeia kkkkk,0
Vejo negócio ficor puto cara exército entrar ação canalha fuder Brasil brasileiro indignação tremendo triste,1
Engraçado coisa aprovar rapidamente pesquisa milhar processo gente comum pessoa humilde aguardar decisão de esse juíz foco de ele livrar bandido político ser prender continuar presos,1
bandido corrupto desgraçar,1
Vao procurar aprovar coisa importante mequetrefe cara pau,1
eleição PT extinguir viver mentira,1
PT Lula Ladrao falar verdade,0
perde Carla notícia verdadeiro válido correr risco esquerda inventar eleição,1
pra botar pá petezar cadeia,0
gostar caír bomba STF,0
CONGRESSO LIXO,0
Governo pulso Frouxos,0
cara prender bandido ladrão assassino prender compartilhar fake news ai rir imaginar julgamento 200 instância STF kkkkkk país desgosto melhor dizer esgoto,1
pq merda votar rapidinho coisa importante,1
Brasil viver calamidade instituição estao tentar privilegiar elite bandido político Sinto nao mao recorrer senao militarestriste,1
poder compartilharComo ir mentira verdadeEu disser esposa Macron feiaeu punidaé FAKE,1
esquerdalha fábrica fake News Mestre nisto,0
ESQUERDISTA cadeia preparar globo lixo,1
julgar esquerdopata Saber rei FakeNews,0
presa,0
Vixe PT enjaular fábrica fake News,0
grande produtor fake news PT G1 Uol ser punir,0
congresso Vergonha Nacional salvo belíssima excessoes,0
corrupcao matar milhar brasileiro roubalheira dinheiro,0
jornaleco plantão dever todps presos praticar fake news governo Federal especialmente Presidenteafff,0
verdade Bolsonaro governar continuar mão esquerda maldito,1
mandar Congresso STF visto mau esquerdalha comemorar dizer militância Bolsonarista propagar fake news tempo,1
Disseram haver renovação mandar cacique corrupto,0
poderíar esperar de este bandido salafrário ladrão,1
presidente servir pra PORRA so pra tomar pau imprensa pq hora so tomar cabeca,1
Globolixo fechar publicar fak,0
país banana bar canalha,1
Hora prender jornalista globo UOL etc,0
Deram tiro pé espalhar fake news Ós comunista ptistas psolistas iiiista nao criemos pânico,0
bando canalha,1
congresso reunião marginal,0
Haddad prisão perpétuo,0
congresso lixo,1
Alguém parar desgraça STF,0
falar intervenção militar ficar mi mi mi motivo né,0
LIXO cONGRESSO,0
vcs valer presidente algum,0
Congresso mostrar bandido,1
putaria,1
Fecha STF merda,1
Ridículos Deveriam dar andamento PRISÕES DOD CORRUPTOS fizer ter FAKE NEWS TRABALHA DIREITO CONGRESSO PACOTE ANTI CRIME ESPERANDO VOTAR TRM MUITA GENTE BORRANDO CALÇAS NÉ PPR NAO PRA FRENTE REALMRMTE INTERESSA BRASILEIROS Affffffff,0
lei cuidar,1
derrubar congresso STF Brasil ser derrubar,0
vejor problema esquerda sustentar fake News,1
congresso cão,0
gritar pegar ladrão frente congresso estrutura físico mudar exceto Zanbelli,1
prender turma lula passar dia soltar mentira caso mente,1
ser iram prender militonto esquerda,1
Lixo congresso senado STF,0
prender HADDAD nÉ,0
FDP DEPUTADOS SENADORES TRAIRAS,0
colocar cadeia,0
petralha tar fudido,0
PTista fuderao,0
brasileiro unir tirar bandido estare preso comer lagosta dinheiro congresso lixo,1
pena pra falar News 2 8 ano prisão pena pra matar alguém atropelar acidente trânsito pra prender intencional criar lei duro pena interesse de ele desgoverno legislativo brasileiro,1
Absurdooooo ir parar solução pra vergonha chamar CONGRESSO NACIONAL dever defender interesse defender PRÓPRIOS interesse,0
Eita petista presos bambam,0
Oq comunista postar VERDADEIRO Oq postar FAKENEWS,0
partido partido presidente critério cair julgar ver pt faknews ninguém candidato pt véspera eleição aprontar,0
