text,hate
@user não tinha parado pra pensar por esse lado,0
@user vamo jogar energia boa,0
@user como assim,0
"@user pois somos duas, uma mais otária q a outra amiga",0
meu bebe ta cantandu??,0
meu deus para de passar vergonha,0
"hm q delícia, almoçar as 15:54",0
sim eu vou ver nxzero filhos da puta,0
"droga, massa e damas... não queres vida o tanas!",0
"""com o fogo no rabo q vc tem, vaj esquentar o inferno"" entendi",0
@user tudo bem??,0
o meu tá muito atrasado então faz anos anoooos q ru n perdoo um fdp q destruiu a minha vida e eu tento tnt q odio link,0
"""vamos sair hoje?"" - hoje não, eu tenho compromisso... o compromisso: link",0
"@user @user 1- não confunda bolsonaro com eleitores de bolsonaro, se não vc vai poder mais contratar ngm que vota no pt pq o cara vai te roubar. 2- extrema direita continua sendo uma corrente legítima, assim como extrema esquerda. se não teremos que odiar tbm flávio dino que é comunista.",1
passo fundo passa a ter secretária de inovação link,0
@user eu tbm ??,0
agr tem como colocar msc no perfil do insta nunca fui triste nossa,0
@user usava da amiga e pagava a fatura com o cartão do bolsonaro,0
se tem a blake lively ja sei q o filme vai ser bom link,0
meu amoooooor link,0
@user @user posso chamar isso de gabinete do ódio?,0
@user @user @user mandei no disc kkkkkkk nao da vo ali come um cacete gozado,0
@user se vc soubesse o quanto que eu tô tendo que me segurar pra não fazer disso uma au (pq eu já tenho umas 4) aaaaa link,0
é assim mesmokkkkkkkkkkk link,0
como explicar a maçã uma fruta que quase foi extinta e hoje está em todas as caixas de suco,0
"@user @user se fosse o bolsonaro fazendo estaria comemorando e gritando ""mito"". vai entender o gado... ?????",1
"prefiro ser depressiva trabalhando, do que desempregada",0
agora eu tenho mais medo de estufa de secagem e esterilização do que de autoclave,0
"defesa de michelle bolsonaro explica motivo para uso de cartão de amiga: ""marido era pão duro"" - link link",0
então tá beleza. link,0
alguém quer controlar um sub do pau pequeno? chama ou segue #pintoawards,1
"camisetas okdok inverno 2023 as melhores marcas você encontra aqui???? para mais informações entre em contato com nossa equipe de vendas pelo direct ou whatsapp, é só clicar no link da bio. #novidades #okdok link",0
bjirrrrrr link,0
@user projeto sólido &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; investimento sem projeto. mas o pessoal não entende.,0
vamos ser mais que amor de fim de noite,0
"esse dia foi foda, todos tricolor na rampa correram ?????? link",0
"primeiro te mostro uma foto com short de jogar bola e outra pelado, topa? se sim, curte #pintoawards",0
"@user melissa, por gentileza, nos envie uma mensagem no privado contando em qual dispositivo você está assistindo a série! obrigada!",0
"@user bota torcida única, colorado não merece mais um grenal de sofrência em 11 bunda mole",0
"@user vamo lá adm, já estamos já uns tempinho sem green na aposta bônus hj é dia de quebrar esse tabu ! ??????",0
bom não.. meeeel! link,0
conta quem se arrisca só quem se arrisca conta,0
@user q mãe dos gays é essa q as gays não conhece? kkkkk,1
"“outro enterro dia 16 a gente não aguentaria” aí, ódio de gente que fica tentando, de alguma forma, ficar voltando em certos assuntos.",0
"@user @user não bicharada !!!! sou palmeirense, mas estou achando engraçado a choradeira de vocês !!!!!",0
@user fez moicano na xereta igual a mc naninha?,1
@user eu e vc,0
é muita coisa na cabeça de uma pessoa só! ??,0
e tem gente que acha essa ruim? simplesmente perfeita link,0
vtnc,0
bom dia com raiva e sdd dela,0
@user a colonização do brasil,0
"dólar a 4,90 hoje, seria sonhar demais que ele continue caindo?",0
@user @user ele é muito fofucho meudeus,0
sinto tanta raiva que amar aprece errado,0
@user oi amor! tudo bem?,0
e hoje desisti da carreira militar ??,0
@user a inveja mds recalc,1
@user nao vai,0
kkkkkkkkk n é possível um ngc desse q cara maluco,0
quero ir no cinema mas eu n sei q porra vou assistir,0
@user pp se der ruim vo de camarote e se der ruim de novo vo de pista,0
@user @user lixil cancronil fezesil,0
"@user @user eu com você, amor",0
"@user e o pior é que depois do luan vem o marcos rocha como mês kkkkkkkk, só não tem ngm com a camisa 3 do ano",0
"@user tinha que ser na inglaterra essa porra, inimigos da culinária",1
ainda tem gente que diz que ta com saudades do bolsonaro kkkkkkkk vsf link,1
a tml td quieta pq a essa hr o mundo inteiro está brigando por ingressos pro nct dream,0
@user 10x mais,0
amamos muito link,0
@user quer ser minha namoradinha? ?? ????????,0
@user que básicas,1
@user muito lindo!,0
solta o green kkkkkkkk,0
minha tl tá aparecendo esses memes esquisitos de gnt maluca e aquela porra de mulher chata do crlh q fica falando c a câmera sobre política mas o conteúdo (q eu quero) sobre futebol simplesmente sumiu link,1
o breguice tinha q ser coisa do zico link,0
@user @user artista acesso link,0
por favor deus,0
@user imagem perfeitaaaaa!!!!!!!!!,0
decisões de moraes devassaram dia a dia do gabinete de bolsonaro com quebras de sigilo link,0
"mano, pqp que trampo foda link",0
amg tirando o jongho todo mundo pode surgir com uma dessa e explodir o fandom link,0
@user tb pagaria..,0
não quero mais saber de depressor e coisas pra baixo,0
a imagem dele pra mim era assi link,0
"aff que ódio, não vou mais colocar dinheiro no bolso de burguês acionista :( link",0
@user agora tudo vai!!!!,0
no final da pra contar nos dedo,0
@user @user e nós cidadãos ficamos à mercê dos marginais.esse é o nosso país.,1
"@user nãaao é o único não, eu também curto e ele cantou umas no show que teve dia 6 ?",0
@user exatamente kkkk que ódio link,0
@user rel ahshhsgs,0
corta link,0
ow! dá um look nisso aqui. é importante! link,0
pqp kkkkk link,0
@user @user é o mesmo que disse que não foi penalti no ferreirinha no grenal aquele do campeonato brasileiro que terminou no ano seguinte. eles tentaram ganhar o campeonato roubando mas ai o flamengo roubou mais ainda hahaahaha,0
@user @user nossa o mercado deve estar muito preocupado??,0
@user mto top né,0
"@user oooooo ninguém sabia da feira, kkkkkk papai noel existe",0
@user é oq eu tô pensando??????,0
@user bom dia meu manoo,0
@user 0x726360a9fffeb470324e4e22599caad614de824b,0
@user @user mas eu duvido que ela seja vp tendo tanto tempo atoa pra estar viajando pra lá e pra cá e fazendo todo o trabalho remotamente sem ao menos comparecer pessoalmente em uma reunião ou qualquer outra compromisso da empresa .,0
@user o ovo era a última coisa a por ??,0
puta merda que ódio agora vou pensar nesse desgraçado o resto da semana,0
@user bom dia,0
adoro clima frio ????,0
"@user esta turma nunca se preocupou com os gastos, o que nunca admitiram foi o fato de o bolsonaro ter sido eleito.",1
???? para refletir. link,0
@user uma hora de espera eu não aguento link,0
tristeza ou tédio?,0
@user desculpa kskskskskskkss,0
@user voce é mt linde meu deus,0
boy pegar o 56 é top três coisas mais gostosas de de fazer quando vc tá estressado,0
"@user @user @user @user a empresa não quebrou só que ficou muito endividada, um esforço que infelizmente foi jogado fora com a venda de ativos que custaram décadas de investimentos bem abaixo do preço mercado na época que iriam dar mais retorno.",0
@user lindadezibb,0
@user ?????? vou tirar meu consignado é hoje então pra eu ir com a mandíbula feita pra move,0
"avaliei ""pretty girls"" com 4 de 5 estrelas link #skoob",0
"@user n, conta já????",0
taylor sonha em ter uma presença de palco assim link,0
quer me ver em junho? me ache no cinema link,0
"gente, precisa entrar pelo portão que veio no ingresso? nx zero, allianz, cedo ou tarde",0
"ai gente chega dessa porra!! é óbvio que isso foi combinado, que ódio link",0
@user aiiiii q ódio kkkkkk,0
@user hipocrisia tbm,0
esse verso sempre me pega mto,0
o que eu mais tenho ódio é de uber que sabe que vai passar o dia rodando e não põe gasolina antes de começar a andar com passageiro,0
esgotaram os ingressos porra vou me matar,0
"@user sopa de morcego,mara link",0
boa tarde juventude vocês já assistiram o dilema das redes? é bão ou é bomba?,0
milionário e josé rico - você vai ver.mp3 homeoffice t amo,0
@user mas isso foi porque o g20 passou a ocupar esse espaço. agora com os eua querendo afastar a rússia a importância do g7 volta,0
@user feiao,1
@user jogar esse jogo foi o mesmo terror de jogar redfall kkkk vlw eu passo,0
@user bjir,0
queria não estar doente??,0
@user olha isso tmb da steam daquele maluco link,0
@user @user a única bonita que vi até hoje,0
@user quel vilain nom! /hj,0
como pode ser tão pequenino? caber na palma da minha mão? no meu bolso? como?! link,0
p’freeeeeen eu te amo vida você merece tudo ??????,0
eu odeio nao suporto aula deste homem link,0
@user @user seu coooo,0
o negócio é que eu preciso aprender as músicas do sidoka pois vou no show e pra mim ele é who,0
@user emprestaria se tudo oq eu usasse fosse meu kkkkkkkkkkkkkkkkkkk,0
"@user @user @user @user entao o pessoal do bolsonaro ta amando, paixão pela ditadura brasileira é com eles mesmos.",1
"@user &gt;nego torturando e matando animais por prazer &gt;""valorizando animais demais""",0
"@user cadê o senado federal, o rodrigo pacheco? esse cara é doidão. @user",0
@user verão lari com sawary,0
a roupinha ?? link,0
"@user e esse exposed? prendam o bolsonaro! lembrando que tem de dividir os valores por 13, por conta do décimo-terceiro! link",0
"caldi, tenha pena",0
nossa todos os dias eu contos os dias para a estreia do filme do flash,0
"@user @user o preço do barril despencou no mercado externo, não tem nenhuma benevolência ai. podiam ter baixado antes inclusive, se estivessem seguindo o ppi, mas preferiram segurar para fazer marketing junto com essa nova ""politica"" de preços",0
"anavitoria até vai, agora jão, jesus link",0
e eu acho que qualidade é fazer as pessoas se sentirem assim,0
acordei bem pra ir ver minha amiga luana jogar hoje né,0
e a redação de militância: ?????? link,0
"o frio machucou a minha boca, parece q eu fiz preenchimento labial errado",0
@user @user sua cara mlk kkkkkkkkk,0
eu demorei um tempo pra perceber que a logo do capcut era uma tesoura,0
pessoal que faz um filme de terror pode pagar o preço de bolsonaro... link,0
não aguento mais fazer o l link,0
eu queeo lbamber o jisung eu quero lambe-looooooooo,0
"@user enfim a justiça vai ser feita, bolsonaro vai ser preso link",0
@user oh povinho limitado,0
"@user ""ótimo momento"" é um exagero, mas de fato tá em um tempo aceitável",0
@user @user tenho raiva dele até hoje por conta disso.,0
@user @user fica de olho,0
gasolina mais barata gás a menos de r$ 100 faça o l imediatamente com força pra caralho link,1
@user nunca jamais never,0
"@user droga, eu sou baterista link",0
@user tá bem fofa?,0
@user e uma coisa resolve tão rápido isso.,0
@user sinto muito por vc estar virando gay ??????,1
@user @user facho !,1
"@user @user @user @user sem me responder pq as joias tava com o bolsonaro, e não no tesouro nacional?",0
@user @user inter de milão,0
@user ser edificada assim bao dimais????????????,0
começando a ficar ansiosa pro ciaaa??????,0
@user @user mlk tu ta me trocando assim?,0
"coentro, curte?",0
o five finger death punch revelou que o vocalista ivan moody sofreu complicações da recente cirurgia de hérnia e precisou ser levado às pressas ao hospital nos últimos dias. a banda cancelou todas as atividades até segunda ordem. link,0
passaram 40 anos investigando o lula e a família do lula. nada! nada! nada! nada! nada! nada! passaram 40 dias e encontraram o que procuravam com o lula na família bolsonaro. cadeia! cadeia! cadeia! cadeia! cadeia! cadeia! link,0
ingresso comprado família nx link,0
a fila parada do dream eita lasqueira,0
gostosinho ver a mudança no corpinho!????,0
"paga lanche pra menina feia mais num paga um guaraná prós pçr, deveria ser crime isso",1
"será que você age de acordo com os princípios do negócio !? absolutamente tudo comunica,desde o seu corte de cabelo,até a linguagem corporal.",0
luana é muito fdp kkkkkkkk,0
"medo hahaha s/ brincadeira, eu falei sobre isso hj c/ uma pessoa, que eu n esperava q o queiroga continuasse defendendo o legado de bolsonaro e o porquê os outros ministros não fazem o mesmo seria muito + fácil pra gente se todos eles relembrassem o q fizeram em seus ministérios link",0
um ódio: as pessoas chegarem pra falar cmg e não dão e nem respondem o bom dia!!! puta merda,0
que ódio eu tive um john mayer kkkkkk,0
"dói bastante quando eu preciso tanto mas não posso vê-lo meu gatinho, meu garoto especial!",0
@user odio que vo ter q comprar essa bomba perfeita da akali,0
"simplesmente o thiago não tá falando comigo pq ele me chamou de testuda e eu chamei ele de gago (pq ele eh), e ele ficou sentido",0
"modelo no setor, a sabesp tem índices positivos de prestação de serviço e garante tarifa justa aos municípios menos populosos, por meio do subsídio cruzado. tudo isso pode estar em jogo com a privatização. confira na #palavradomurilo: link link",0
"@user nosso país já tem inúmeros órgãos governamentais para combater a corrupção. a criação de um novo braço para tal, é no mínimo suspeito.",0
"o cupom pra esses ebooks é unlimited50, pra lista selecionada link",0
que ódio q eu to dessa alergia,0
faça faça o l link,1
agora só falta 2,0
"@user aí eu te pergunto... qual copa da mais audiência, masculina ou feminina? pfvr né...",1
"@user o icms né, mas tem que ver a refinaria tb. a refinaria da bahia foi vendida - a preço de banana -, e hoje temos uma das gasolinas mais caras.",0
o renan é assim link,0
"o bem saber dos atos obscuros desse integrante do stf, é saber que ele não conseguiu pegar nenhum ilícito do presidente jair messias bolsonaro, a esposa michelle bolsonaro. uma verdadeira vergonha boa parte dos integrantes desse stf atual. link",0
@user achei que esse rolê de julgar pela aparência ou estereótipo era coisa do passado...,0
"@user rapaz, tá faltando pauta hein @user ?",0
@user carai eu odeio essa mina,1
será que eu consigo tacar fogo na escola?,0
@user isso significa o que eu já suspeitava. abin e gsi não servem pra nada. general heleno passando vergonha nessa.,0
"@user @user enqto veraneiam em hotéis de alto luxo às nossas custas (pagamos 57 suítes para a coroação do rei charles)… é mole o q esse mega criminos$ gasta? mts impostos e taxas ainda virão… e o brasileiro, juntamente com inúmeras empresas), falindo, dia a dia!!! #impeachmentdolulajá link",1
@user metade desse povo aí só tá passando na rua mesmo amor kkkkkkkkkk,0
obrigada a todos. link,0
@user @user encarnado é o teu olho do cu de levar tanta enrabadela...,0
isso link,0
"eu morro que eu troco de personalidade mais rápido do que digito para poder acompanhar os pedidos do @user . pessoa física, jurídica, melhor amigo, terapeuta, assassino de aluguel.",0
tortura ver aquele tanto de faca e não poder comprar,0
@user crédito bancario,0
@user n escutei tudo ainda,0
@user kigatinha vc,0
juro que odio que eu to desse uhuu link,0
"tenho opinião, mas nao tenho advogado",0
faaaaaaaaaaaaz o l link,1
@user @user piada essa hora?,0
"ta, num era web namoro link",0
@user jqhejqjf q tonto,0
nada vai estragar meu dia hj link,0
@user meu pênis só gosta de calcinhas ??,0
"não tinha botado fé no joguinho de jedi porque não sou um dos maiores fãs de star wars, mas me surpreendeu. é muito bem feito e tem uma boa história. é um souls light",0
r$ 260 o quilo?link pescoço? pescou simmm! link,0
@user só pode kkkkk,0
@user pode definir o que considera um sorriso bonito?,0
"@user obrigado, eu adoro dar instalock à sage e não saber o que fazer",0
@user me respeite seu lixo!!!!,0
"eu sou tão inútil que eu não sirvo nem pra trabalhar na produção? me pergunto se sirvo pra algo além de sair e beber, pq parece q não.",0
tudo que eu queria era a rampa do cefet na esquina da minha casa,0
andressa é uma música que não importa quantas vezes eu escute eu nunca vou enjoar,0
"#balancogeralrj foi preso e vai fazer de novo porque só sabe fazer isso, tem que tomar uma surra pra que nunca mais ande na vida.",0
"governo bolsonaro pagou r$ 260 por quilo de pescoço de galinha para indígenas da amazônia @user link dinheiro para alimentos das tribos indígenas foram desviados para a lavanderia do jair , seus comparsas e como sempre há um pastor do meio dessa gandaia.",0
@user são januário tem nem privada,1
@user @user estão falando do lula e não de um frank sinatra. o lula não tem gosto é um brega bregoso,1
a veia ta maluca @user,1
@user @user corre aqui,0
oi deus sou eu de novo,0
@user nossa pfvr,0
o brilho no olhar ??????????????? link,0
@user @user sdds,0
me fodi em mais uma prova ??,0
"@user não precisa esperar, basta ver a petrobras no governo dilma",0
@user a gente pode aceitar isso e o coração continua aberto,0
quanto tempo eu não te via,0
"@user @user @user pedro deu pra essa fedida, aposto com qlqr um que vai voltar toda fedorenta",1
"""a mente que se abre a uma nova ideia jamais voltará ao seu tamanho original"" albert einstein",0
@user uma caminhonete suja cheia de ódio link,0
abri e vou abri de novo se tiver no instagram vendo stories no mesmo momento que a pessoa postou,0
um frio do caralho na academia vai tomar no cu pra que um ar-condicionado tão frio assim ??,0
@user a única coisa que esse lixo sabe fazer é mentir.,0
medica da mariáh é doidinha kkk,0
botaram ônibus novos pra passar no meu ponto aleluia,0
meu irmão tá virando um doente apostador kkkkkkkkkkkkkkkkk q ódio,0
"independente da cor, loola escolherá um vassalo obediente. link",0
"@user @user ou o time possui um ataque poderoso, o que não é o caso, já que não temos jogador extra classe ou uma hora perde o elenco assim...",0
aula de calculo ou grego,0
"fiz merda, se eu não aparecer dentro de 12 horas liguem pra polícia",0
governo bolsonaro é acusado de superfaturar compra de carcaça de frango para indígenas link,0
minha amg tá doida pra dar a bct #pintoawards,0
@user mano esse cara nem consegue comer a mulher dele. cara de *orno. se eu fosse a repórter não perdoaria e meteria um processo nesse sertanejo homofóbico. as pessoas precisam pagar pelos seus b.os,1
eu nao tenho mais tempo pra nada nada nada nada vou ter que almocar com um garfo na mao e com a caneta na outra fazendo trabalho da faculdade ao mesmo tempo,0
"@user @user pare de usar k9 irmão, o próximo é vc",0
"te falando, parece coisa de deus, pra quem acredita né, ou o destino, enfim, tô na onda",0
@user que lixo,0
o erro do ser humano é usar o pé pra amortecer a queda do celular,0
passado como tudo aqui em sp é fila,1
@user punk russo kkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
@user a cara da avó irene,0
"@user @user @user calma amigo, nos livramos de bolsonaro, além disso ele vai ser condenad9 e ficar inelegível, assim não corremos esse risco pode ficar tranquilo.",0
@user @user vc qndo acordar,0
eles vão enterrar né? link,0
@user tá liberado espionagem no brasil ? link,0
um flaconete tem 10ml e deu p tirar o ar do extensor jurava q precisava de dois,0
"@user @user link #lol #leagueoflegends #streamercommunity #streamer se puder dar uma ajuda lá, muito obrigada",0
"o casal , recepcionado no shopping barra, salvador , ba., pela população. lul?? e janjão 171, não são bem vindos por lá, aliás por grande parte da população ! link",1
"elogiaram meu caráter, nunca me ocorreu kkkkkk mas to muito feliz",0
@user eu gosto da dorzinha que fica no braço,0
nct ta que posta no insta,0
estou decidida a largar os estudos e virar stripper,0
@user março lari com sawary,0
e se o bolsonaro voltar?,0
@user eu mataca,0
que bom que as fãs dele não são malucas pq eu posso me acabar de dizer o quanto ele é gostoso link,0
@user amiga eu sou muito lerdo,0
"@user fraude eleitoral. e vc ainda que acusar oposição de fazer complô. rapaz, vc e sua turma cassada são corruptos! vc nem deveria estar na política!",1
@user lkkkk o maluco gastou 12 milhões em cartão corporativo. imagina ser petista e ter que defender isso ao mesmo tempo que xingam bolsonaro por gastar 4 milhões kkkk,0
@user muita saúde pra ela ami,0
"ansiedade a milhão p mais tarde, dormi nada essa noite. doido p ir p maraca logo e começar a gelar ??????",0
@user q coitado! link,0
@user @user dias acelerada e biel bate oh carro,0
bôa acaba de poster nightcore??? link,0
"@user não se vê no novo testamento o apóstolo paulo chamando nero de genocida, nem o apóstolo pedro chamando nero de ladrão, apesar de nero crucificar e jogar os cristãos aos leões. satanás cegou os cristãos de hoje para ficarem brigando por causa de lula ou bolsonaro, em vez de… link link",1
"simplesmente inventei uma festa surpresa pra rafaela hoje, e o aniversário dela é amanhã!",0
"@user ummmmm armas pra vcs, e o povo desarmado.... interessante o mundo paralelo dos soberanes",0
"*???? juros mais altos do mundo!* segundo o levantamento, o país aparece na primeira posição da lista. *mais juros = menos economia* _pro brasil avançar, os juros precisam baixar._ _saiba mais aqui:_ link link",0
@user amg eu acho q vc precisa de terapia (eu penso igual kkkkkkkk,0
aí desisti tudo que eu tentava não ia que ódio,0
"@user @user fd-se mercado. quero saber do melhor pra mim e pro povo. ""ain mas mercado bem é bom pro povo"" o mercado só qr saber de si, mesmo que seja em detrimento ao povo. pior é gado q faz parte do povo defender o mercado. ??",0
"@user para indicar o advogado pessoal para o stf lulinha tem força política, para fazer um governo de esquerda ele não tem, né petiste?!",1
@user @user tinha que vir o parolo da aldeola…tristes,0
@user porra ce é bonita pra caralho pqp,0
"alexandre, o supremo do supremo o brasil está fadado ao fracasso, não por causa das suas riquezas minerais e nem por causa do grande coração do seu povo, mas pela ganância de poder e riqueza, pela arrogância e pela falta de caráter dos poderosos que controlam a nação. explico… link link",1
queria tanto um rodízio de comida japonesa,0
uhuu sua vadia que odio eu vou desmaiarwjjwk,1
foi vetado pelo jurídico link,0
@user @user @user @user concordo plenamente kkkkkkkkk,0
na força do ódio link,0
"quase morri, p no final descobrir q tenho asma ????",0
"mês retrasado me sobrou 50 reais por que eu trabalhei igual uma filha da puta, resolvi ir no cinema, gastei 30 reais, cheguei em casa e tinha acabado o gás e como fica?",0
@user 34 anos e o duilio já quer trazer,0
@user ahhhh pqp! deu já,0
bolsonaro roubou ou é narrativa de esquerdopatas? link,1
"@user bom dia, o melhor",0
enquete aponta preferências de consumo de rádio em 2023: receptor fm/am lidera link,0
@user pedo???? link,0
@user ainda não,0
"@user @user @user @user @user @user @user #escutemaposentados pref. ricardo nunes, os eleitores darão seu voto para candidatos que apresentaram soluções concretas para o fim do confisco de 14% dos aposentados pmsp. wx",0
vontade de comer você link,0
"[16/5 11:31] luana: amiga [16/5 11:31] luana: sabe oq eu vou falar [16/5 11:31] luana: pra ele procurar um tratamento psicológico [16/5 11:31] luana: pq ele precisa [16/5 11:31] luana: e muito [16/5 11:33] luana: e eu vou falar assim ""você já procurou um tratamento psicológico?""",0
o algoritmo do twitter fazendo o l link,0
"odd de 5 pro real madrid hoje, quem não jogar um troquinho no time que tem pacto é maluco",0
?????? @user #euapoioomst #foracamposneto pf vai procurar bistecas que bolsonaro fez sumir link,1
eu amo ter sinusite pq toda vez que eu vou assoar o nariz sai um litro de sangue (esse tweet contém ironia e uma dose de exagero),0
troco bilhete coldplay dia 21 porta 14 por porta 10,0
@user ultimamente eu ando os 3,0
to no episódio de the office q o michael prometeu pagar a faculdade de todos os alunos de uma escola e eu to derretendo de cringe meu deus eu to morrendo de vergonha alheia eu vou enfiar minha cara num buraco ta doendo ver,0
"o fi da rihanna é feii,c tá dd",1
"ela não me ama mais rapaziada, não quer me dá o ????",0
@user bem-vindo ao gigante luis inácio lula da silva,0
"sério, elas são especiais. ? link",0
"tô destruída, não sei se eh um simples resfriado, dengue ou covid ??????",0
muito meus amores link,0
"meu deus vai ter nova montagem de rei leão aaaaaaaaaaaaaaa ?????????????????????? eu já tô pobre, não tenho dinheiro mais pra ir pra são paulo todo mes, meu deusssssss",0
"@user esses cara são uns verme mano, eles sabem a merda que estão falando e ainda sim fazem isso pq tem gente que compra e eu fico triste pq geralmente quem compra isso ta desesperado buscando uma solução pra sair do buraco e cai em na isca desses verem...",0
bolsonaro na cadeia já link,0
cara pelo amor amooooor de deeeeeus,0
"@user e agora? espionagem de um ministro do supremo sobre um presidente da república. se faz algo a respeito? podemos fazer alguma coisa? sabemos de tudo o que aconteceu nos 4 anos do governo bolsonaro, em especial nas eleições. e aí? temos alguma saída sem ser a do país?",0
e se tudo isso foi só um migué pra não ficar cmg e quando eu parei de tentar acabou o migué? kakaakk,0
acordo cedo já bolo da forte p ver se as ideias clareiam um pouco,0
eu estou muito mal link,0
@user qg manda a mãe engavetar o clipe de nu link,0
ostenta na rede social e vive na calçada pra usar a internet dos vizinhos,0
@user boa tarde júlio,0
"o que eu devo fazer? quais atitudes tomar? cara, que bgl difícil",0
tava tirando as fotos no trabalho só agora percebi q tava em graus q ódio,0
so eu @user,0
declaro meu ódio a marcelo,0
passa uma dor e vem outra em outro local do corpo que ódio,0
"@user uma pena, não verá",0
100% neta e eu link,0
nem fudendo q esse mano foi pra rede pra ficar sentado,0
"?? processador intel core i7 10700f 2.90ghz - 4.80ghz turbo 16mb ?? reduziu e custa: r$ 1.889,10 à vista (-4.55%) ou 10x de r$ 209,90 (r$ 2.099,00) ?? queda de r$ -90,00 ?? 12:12:08(-3 gmt) ???? magalu ??? 20gpubipolar ?? link link",0
@user @user quantas pessoas a band vai mandar? a record? a espn vai mandar quantas?,0
se tem uma coisa que atrapalha minha vida é não ter carro,0
meu primo foi casar se com uma maria macha kkkkkkkkkkkkkk isso que dá,1
nem fudendo que ele é a voz do mikey link,0
tudo pra ela e por ela ???? link,0
@user isso geraria uma crise horrorosa comigo. palhaçada.,0
@user tem qndar,0
freen ganhou meu deus elas tão levando todos os premios,0
@user @user lindona mesmo ??,0
"@user parabéns presidente, por cumprir mais uma promessa de campanha e abrasileirar os preços dos combustíveis! foi pra isso que fiz na l!",0
"@user e nem terá mais nada no resumo, porque só escondendo os resumos eles podem cortar a vontade o que querem, se a gente não sabe, nem vamos poder reclamar de nada, estamos no escuro, já cortaram cenas da regiane falando da helena.",0
@user concordooo,0
