mensagem,odio
58888essa merda castigo deus degenerado soubesse de esse informação ter continuar punheta correr putasfalar de esse merda ficor medo sair puta novamente sinal mandar virar celibatário saco correr mulher tar segurar vontade comer puta,OFF
USER encaixar descrição dizer RAÇA MALDITA crente atual profanan nome deus,OFF
canalha,OFF
USER família fechar MITO PT LADRÃO VOLTAMOS RAÇA IMUNDA FDP LADRÕES URL,OFF
Único pessoa q tentar lacrar voce comentário,OFF
USER sério USER acreditar ouver merda Anitta cantar gostar rabo Gelat,OFF
vey bom video de ele ja fã crepusculo infelizmente ver senti idiota,OFF
minoria realmente achar diceminar algum mentira Coitados vcs certo vergonha alheio utilidade ficar ae mentira achar ganhar vcs cavar próprio cova emissora falir falar né ter criar canal YouTube bonde lixo escório Brasil,OFF
dia ter tds sistema político totalitário genocida ser rechaçar mundo,OFF
mudar acontecer tds estar sugeito sair voltar praga mineiro desgraçar USER presidente mudar muito coisa pra bom hoje dúvida td,OFF
USER Fodase bom amigo chegar,OFF
USER LULA ESFAQUEOU USER,OFF
USER USER iUSERformar pvf crime direto taUSERto mulher quaUSERto homem USER CRIME falar USERo iUSERício vídeo seUSERtir usar seUSERtir ofeUSERdido Fosse mãe esposo filha USER USER falar merda,OFF
USER Tô ver gente dormir acordar 500 notícia comeback ir pro aeroporto dedo cu gritar,OFF
cantado lixo URL,OFF
ficar raiva eu achar q sl máquina putaria sábado vontade comer miojo,OFF
USER estudar burro,OFF
USER USER USER Bolsonaro corrupto mlk retardar cérebro tar atrofiar,OFF
USER pêrinha,OFF
USER USER Tá virar putinha Tite,OFF
USER USER Sai rua bar vagabundo ladrão ir moer raça maldito porrado bar GANGSTERS corno,OFF
guardar diabo amigo de ele,OFF
USER baitola lixo,OFF
USER Y LOS CHINOS ULTRA GENOCIDAS,OFF
bixo bom video USER USER ver USER 11 minuto HUAHUAHUAHUAHUAHUA USER USER USER USER MULEUSERUE USER PORRA USER ascor USER sentir ver merda cinema vc dizer ai video USER abraço,OFF
USER propaganda noção Burguer USER Lamentável,OFF
bando lixo Deixem criança paz,OFF
Esfaqueado USER querer ganhar prova merda população liberação arma senhor USER deixar acontecer,OFF
USER M VERGONHA 3 PATETAS DERAM LIDERANÇA PLANTA LINN,OFF
USER passar vergonha pqp USER,OFF
alma de esse infeliz condenado arder fogo inferno eternidade,OFF
Cara ofensa pra USER idade nao so 13 amar crepusculo nao crepusculo Taylor Jacob adorar filme voce nao gostar crepusculo achar sentido nao precisar falar filme publico USER so guardar opioes pra si ninguem precisar nao ofender ninguem causar confusaor comentario so falar opiniao achar voce video adiantar falar merda pra eu opiniao continuar ser mesmo vim 2017 inscreva canal,OFF
USER USER Reportogem hote assacino USER filiar pt esquerda USER falar pt USER aver USER pensso pessoa mudar pai chamar mulher USER USER agredir verbalmente jornalista USER avor USER Porq em esse enleiçoes USER ir votar USER deixar clr democrassio USER USER liberar arma USER USER diser q bandido bandido morter democracia carater USER querer pra nasçao bom entao pensar USER digo USERs USER votar candidato ms USER USERs vao votar eva sao proprosta USER melhoria pra noss nOçao ve so oodio ser espelhar USER reaçao USER USER USER coisa,OFF
USER mito deixar pandemia fugir controle kskskks alguém culpa 500 morto USER ninguém respeitar restrição ter contrabando oxigênio ter gente morrer véi vdd 500 morto resultado Bando USER egoísta,OFF
sea hoy dio Rabia q literalmente ofreció pagar la comida lo amigo d mi hermano y cuar mis amiga cumplen años l o papá ponen un culo Marica es ni la torto,OFF
USER quanto de esse negro inocente quanto criminoso bandido dou absoluto negro morto inocente infelizmente muito inocente acabar ser matar corrupção polícia,OFF
lkkkkkkkkkkk fuder,OFF
USER caçador vampiro burro USER vampiro,OFF
USER USER oq mau mina surtar cara bunda mole,OFF
fóda fóda ter falar Brilhando sol KKKKKKKKKKKKK,OFF
gui levar pau levar narguile,OFF
Rindo ate 2020 cariri ridicular,OFF
USER perder cliente,OFF
USER porcaria entrevistar porcaria puxar saco de ele entrevista ano sair rua comício pra pregar mentira palanque claro Borra calça,OFF
USER ta feio pra porra ai nao comer,OFF
Gostar flow mulher percor total vontade assistir USER entrar flow pra puxar conversa casual DIVEIDA pra entreter puxar assunto legal acabar assunto ficar técnico achar merda comentário outro cara USER entrar bar pra conversa bêbado negar trazer quadro giz livro óbvio defender ninguém porrar ambiente pra discussão chegar amigo mar piada perguntar informação tirar moral Tchau chato krl,OFF
horrível sirvor pra absolutamente pra passar dever insuportável dever estranho lixo conquistar querer vida,OFF
pessoa entender ninguém nascer gay estudar confirmar mudança comportamento USER princípio gay USER homofóbico bobeira,OFF
kkkkkk USER USER USER foda,OFF
cara falar partido nazista falar abominar,OFF
qnd tirar escapamento carro vier falar mulher curter ir ajudar mulher ser fiz pra eu pq curto fodase URL,OFF
odeio goiano mineiro,OFF
caralho ir cliente gol Empresa lixo Lixo Lixo Lixo Lixo,OFF
garota chato insuportável tomar cu deixar menina postar querer invejoso,OFF
q burro p fumar kkk,OFF
n entrar cabeça q perder totalmente controle relacionar dinheiro corro pra LITERALMENTE correr eu pq hj n dar vc q esperar q foder,OFF
USER antro aproveitador mamar,OFF
USER safado valer lixo dever preso Deus livre desastre eleição de ele,OFF
ir começar criar vergonha cara,OFF
errar coisanão USER filme USERc falar ae USERideo USER comer Bella afinalele USER USERs sangue ejaculação apostar,OFF
USER nao gordo naoUSER obesavai tratar bom USER,OFF
achar neurônio funcionar pq ó imbecil,OFF
solta piranha,OFF
viciado pau mestre lt3 amer servir putinha pra,OFF
USER Arthur debochar mulher cara risinho mulher falar mesmo mina q irritar c defender cara mulher bicho mt estranho,OFF
USER Tú er una asqueroso bodega pus,OFF
Foda comunismo matar nazismo defender ninguém neutro USER USER citar nazismo colocar contexto burrice,OFF
USER pessoa viver relacionamento ídolo doentio sofrer mau pessoa sensível,OFF
Narizinho tar engasgado kkkkkk,OFF
voz pra nazista pra acabar influenciar querer criança jovem surgir guerra,OFF
julgar USER mendigo dizer estuprador tapa cara sociedade desempregado casa ingenuidade achar traste governar voltar consiga ajudar psicológico estabilidade viver paz,OFF
USER USER Deje escribir mkr sea mentiroso,OFF
USER Caralho álbum impactar época escutar ter dar contar haver 7 dia deitar cama deprimir álbum lembrar outro álbum mexer comigo ser pra sentimento bom ruim,OFF
USER Maldito himno,OFF
feio hein cara copiar comentário,OFF
fodase,OFF
USER USER USER Wtf cara Tô tentar interpretar lógico ilógico amigo puta parir começar alguém bi hétero gay sexualidade baseiar sexo baseiar gênero pessoa,OFF
USER tar extresse palavrão affs,OFF
USER ajudar deixar ninguém ajudar compromisso morte miséria,OFF
USER Uruguay pro maluco belleza,OFF
USER cansar passar vergonha financiar porcaria,OFF
USER USER ai caralho HASHTAG HASHTAG HASHTAG,OFF
Aeeee caralho sentar paular em esse desgraca,OFF
USER USER USER IDIOTA USER conheçe falar USER ser stephanie criar historia vampiro lobisobisomem sao ficar merda igual USER criar historia diferente criatividade falar USER USER gay USER dever olhar ta USER pd criticar oq pq opiniao n importar comparar USER USER USER USER falar bella fisicamente fisicamente kristen USER,OFF
USER Aún hay obtuso creen anticapitalista es vivir en una cueva descalzo ridículo es la ignorancia prepotent,OFF
vago termo USERuem errar n USERue USER falar merda USER repercussão USERue n intenção apologia n tirar fato fazer apologia nazismo entrevista durar meia hora entrevistar explicar perfeitamente erro fala USER saír ai USERue USER acabar haver patrocínio USER haverer diverso boicote entrevista errar ter punição USERue daUSERui pra frente pensar falar merda vir desculpa USERue bêbado cara culhão pra sustentar erro de ele sozinho jogar culpa coisa muito maturidade,OFF
gente incomodar curtida opinião achar certos ok certo existir idiotice existir escolhar querer pronto,OFF
daq começar discutir bíblia saiar mesa ir almoçar sala sozinho pq pqp paciência,OFF
USER bichona sonsa URL,OFF
USER valascvijus dou pequeno pra vc dizer mundo caminhar rumo,OFF
USER ma che pallw beh continuar su questo lineo donda guardar Magari riesci ad avvicinarti Magari se lascia andare si fer,OFF
USER escrevar quiser porra Tyago teagar titi thiagueira tiu Agueira deixar paz,OFF
pra marcar Beatriz bixa demorar vei pqp,OFF
USER USER VIDA USER CAPETA KKKKKKKKKKKKKKKKKKKKKKK,OFF
USER USER velho fdp alugar automóvel caríssimo pagar regalia combustível Bimbo nunesteu reinado acabar,OFF
tô ressaca caralho,OFF
pandemia alastrar vitimar quase 700 brasileiro imbecil calhorda beócio gostar chamar GENOCIDA URL,OFF
USER USER ai suspeita credibilidade programa verdade Direção mandar coisa absurdo pular pra sair prova pra Traveco ganhar diga orgulho gay,OFF
for,OFF
morte criadora crepusculo ser queimar praça,OFF
USER chupar pica corno manso,OFF
pessoa ligar pro Monark falar absurdo cara apoiar nazismo Mulekagem vacilo,OFF
desgraça perder cliente fiel,OFF
linda campanha Inclusiva USER USER importar ninguém alto direito interferir vida ninguém gostar simplesmente ignorar afinal opinião respeitar vida livre podeser de ela entender ninguém haver decisão vida pessoa paguar conta mesmo Parabéns USER USER iniciativa fodamse idiota,OFF
USER,OFF
USER Vagabundo criança rato laboratório assumir consequência,OFF
ta loco escola filho chegar corredor principal pUSER entrada colégio pedir Mãe USER conhecer escola roupa joelho pUSER morar USERuente USER pelada USER loucaaaaa,OFF
Euuuu ladrão cadeia URL,OFF
declaração mostrar USER tratar vcs estatística deixar burro idolatrar ligar pra vc,OFF
avisar extremo esquerda TSE Políticos Artistas estar dar tiro pé achar adolescente país votar bandido corrupto vagabundo Lula entrar HASHTAG assustar,OFF
mostro capacidade matar próprio filha imaginar q vergonha perigo crueldade mãe Isabela ver lixo rua,OFF
USER pegueer 7h cheguei quase 10h trabalho ver corno vir Indaiatuba,OFF
chamar amor pedir carinho enforca gostar fuder escurinho g Baby,OFF
foda entendar posicionamento flow achar correto programa leve ficar pesar,OFF
simplesmente patético,OFF
USER ficar putaria tô vela,OFF
q acontecer esperar q n ser filho puta costa,OFF
USER pequeno esperar mundo mão porrar,OFF
Abandonou amigo foda 80 Pessoaseles estar qdo USER início,OFF
to acreditar medo Brasil caraio HASHTAG,OFF
USER respondi tweet porta gayzão,OFF
USER USER USER Bostinha putinha milico ficar chateado,OFF
USER Péssimo pavoroso asqueroso ruim nomear confortar votei atual presidente último eleição URL,OFF
Monark porra sucesso USER,OFF
USER USER FICO MENTIROSO PAYASO EL CAMUFLAJE URIBE GENOCIDA CENTRO DEMOCRÁTICO NARCOURIBISTA RATAS CORRUPTOS MAFIOSOS URL,OFF
podes irmão Irmão deixame tirar cisco olho USER vês trave olho HIPÓCRITAS Tira trave olho poderásr enxergar tirar cisco olho irmão julgar monarck olhar vida,OFF
USER vacilar galera fazer cara bode cadêr galera cair galera capitão cuecar prestar homenagem USTRA USER país piada hipócrito caralho,OFF
USER USER bloqueaste zurdo inmur les gustar ustede lacra parásita URL,OFF
USER passar vergonha post engajamento ninguém ligar besteira vc postar,OFF
USER USER Santos USER USER P,NOT
melhorar ficor casa pra sair n porra ir melhorar,OFF
cara vc foda,OFF
USER USER Vc tar sacanagem Seriedade país sério advogado PCC jamais juiz supremo corte u País sério candidato estar grade Vc comemorar calar voz opositor ser calar verme,OFF
curto story ser foto feed Fodace,OFF
Vingança preferir vingar pqp,OFF
USER dar dama Brasil pohar,OFF
Burro dms,OFF
USER Bolsonaro jogar jogo sujoEle maquina canalha p interesse peçer pDeus levar vida co ódio qeu de ele governo raiva vida golpe sintar ódio golpista,OFF
USER Pau dar cu de ele,OFF
fuder lindo d,OFF
USER tô lixo,OFF
USER USER Pqp tar ver dia pensar diabo t cara pastor de aqui virar político,OFF
ensinar criança existir homem mulher,OFF
verdade prisão inafiançável parar diminuir cara canalha,OFF
pq invés matar metade ser vivo n recurso infinito Thanos fdp querer q mundo foder msm pq ser inteligente ter fazer direito Burro,OFF
USER USER ESPERO USER TENHA IDO,OFF
USER voltar falar cu,OFF
USER falar 3 frase flow foda tar quase chorar,OFF
Lina visto realmente mandar 3 pro paredão queimar 100 sofá kkkkk,OFF
gostar BURGUER USER gostar total repúdio,OFF
USER N conseguir entender bissexualidade pra normal sapatao viar,OFF
USER USER USER Bolsonaro ser lembrar ladrão fascista genocidar entregar país bando pastor canalha continuar roubar 650 morto pra vagabundo,OFF
manar USER USER USER USEResse cara mito manoparabem sucesso USER,OFF
kkkkk Eslô putinho pq pegar monstro intocável genteeeeee enter pq entrar bbb kkkk,OFF
chamar amor pedir carinho enforcar q gostar fuder escurinho gozar baaaaaabyyyyy,OFF
sinceramente achar ridículo propaganda simples fato estar colocar criança papel q saber falar opinião formar pensamento pai de elas de eles comunidade LGBT achar forçar trazer criança Opiniões assunto,OFF
USER cagar USER USER USER debate USER caloroso bater frente convidado pergunta massa população escutar parabenizar USER USER trabalho sincero achar USER trazer entretenimento massa USER abrir pod cast levar frente projeto garantar público ser fiel,OFF
USER absurdo né Francamente enxada pra colarinho branco Vadios pagar cambar ladrão,OFF
diferença pegar traveco outro mulher personalzoeira URL,OFF
burro normal USER único pessoa conhecer persistir burrice quase inacreditável,OFF
Conseguiram acabar vida cara mundo saber idiota certos tema abordar Levava professor dar 24hrs aula sobrio Fico triste humano capaz de esse,OFF
USER USER ladrão corrupto ex presidiário líder quadrilha PT outro Genocída mentiroso moleque Milíciano arruaceiro irresponsavel corrupto vagabundo corno negacionista covarde Noivinha Aristides mico TARADO machão cercadinho Rachadinha URL,OFF
pagar caro Deus,OFF
USER acabar pesar pro Igor literalmente culpa,OFF
eu cabimento obvio situação infeliz óbvio Monark ser desligar força mídia patrocinio higienizar bonitinho perfeito puta parir,OFF
14 teoria prato i abundância escassez 47965excelente anão acordo keikaku47979esso livro focado prático mudança mentalidade necessário pra sucesso engraçado ler perceber merda sentido exemplo ter adolescência sinceramente achar homem dever ler merda naturalmente redpillado circunstância,OFF
cair lábia Givaldo USER oh mulher besto mermão,OFF
Cómo les encantar mamar Memo Ochoa los tudn,OFF
USER USER tacar fogo apoiar movimento idiota ridículo,OFF
ai meda marreco mentiroso corrupto ladrão argumento politico proposta politico indiferente USER primeiro pergunta começar desmaiar Flavio USER ai piada marreco Maringá presidente,OFF
USER USER olha cara retardar broxa kkkkkk neoliberalzinho defensor burguês ladrão,OFF
saber mulher louco surtar gado conservador mulher estar desesperado passar pano mulher igreja Toma pvto kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk honradinha dar pro mendigo louco,OFF
Gostaria comentário declaração USER repúdio conceder liberdade expressão reaparecimento criminoso genocida louco dito imperioso destacar postura USER falar pensar refletir desculpar hora acabar estar ver USER haver profetizar medo falar merda programa acabar Quase conseguir USER ter trabalho recomeçar outro destaque despreparo intelectual arrogância USER querer debater assunto conhecimento USER ter mínimo noção horror nazismo jamais falar tamanho absurdo USER rapaz precisar rever conceito estilo vida USER desculpa aceitar siga frente ser feliz,OFF
USER RATA ASQUEROSA INMUNDA LACRA RUIN Y MISERABLE,OFF
realmente tática moça existir conversa algum USER equina hoje amanheci perna doer USER fofoqueiro cadêr chapa afirmar tar doer chapa,OFF
USER Viejo ridículo,OFF
USER problema assunto respeito usar pequeno pra comercial piores falar MT hipocrisia falar ninguém pequeno pra comercial hétero gnt vc pra passar vergonha,OFF
USER USER USER USER USER USER KKKKKK,OFF
odeior qnd amigo lembrar ex esquema ficar soltar graça p pessoa mano q vergonha gui descobrir agr,OFF
USER ação publicitar massa Fico triste existir humano escroto criticar comercial parabêns agencia responsável comercial,OFF
merda ja nao matar boneca ano passado tirar essencia de ela fuder odiar ir jogar karma pra despedir URL,OFF
USER USER ficar gracinha calça mamilo ficar parecer velhinho,OFF
ridicular ehr comentario pessoa vazio,OFF
USER roleta russo palavra Foque trabalho falar vento,OFF
USER horroroso estimular criança errar homofobia direito pensar diferente piso burguer King,OFF
ficor quarenteno sair manifestação pqp,OFF
Lixo enfim marketeiro meder repercussão saber efeito sociaismas mudar atitude,OFF
organizador baile masca reembolso carai,OFF
USER USER eu cara pocisiona merda cara siga paz,OFF
Jojo Bota ordem em esse folgar mimar,OFF
Pai Coe bandido amer pra crlh né Pai filha pow amer cuidar Pai fdp algum gritar tô amar xau último mensagem recebi de ele fdp matar,OFF
USER nanar Correyro so foder,OFF
USER chato interromper cara hora,OFF
USER foder homofóbico,OFF
q diabo,OFF
dever morrer tomar tiro nojento caralho igual ator URL,OFF
louco,OFF
USER USER USER USER Lucas fábrica merda virar vítima real causa reação exacerbar Karol vencer liderança Nego Di imediatamente vetar prova sacanagem imenso,OFF
nazismo preconceituoso assassino comunismo comunismo defender santo dia NOJO,OFF
USER USER apagar comentario pronto USER escrita video focar comunidade Ta fazer lindo vc 3º USER USER,OFF
USER bronw opinião comida cor existência pessoa vc gostar homossexualidade continuar ser hetero calar,OFF
USER Telemadrid hacier el ridicular además un lavar bajo Feijoo puede Caer aún má puede llegar su audiencia al,OFF
BANDIDOS MERECEM USER USER USER USER,OFF
Tá misturar nojo criar cara de ela raiva aguentar twitte puta desgraçar,OFF
USER vc certo principalmente homem sexo sofri lobo pele cordeiro,OFF
Marica ya,OFF
Parabéns USER comercial atrair pessoa lanchonete patético criança haver opinião formar capacidade pra dialogar envolver vergonha vinr Brasil poste mijar cachorro certo tornar errado opinião contrário cancelar,OFF
absurdo criança nao maturidade escolha,OFF
USER ver cara anticristo USER acabar Brasil tar ver ai merda USER USER tar ver oUSER tar pra vir USER mau,OFF
mulher inteligente pra pessoa retardo,OFF
USER USER USER USER MATA USER USER USER USER,OFF
USER ouvido porra,OFF
pirigoso pa USER ta rir muuuito oaksoaksoaks fooda aushauhsuahsuahsuahsu,OFF
acompanhar papi 3 ano ver alto baixo de ele abandonar assistir conquista de ele pra vim cara q gtr bodkit falso shopee desmerecer kkkkkk vsf porra USER,OFF
picareta investiguar filhinho de ele ta mandar mundo pra colocar laranja controle acesso informação polícia USER Ser retardado enxergar USER crime USER ver coisa consigo acreditar gente brasileiro atrasar estar ano luz popuçaçao evoluído oque acontecer gente ver USER USER ter piedade,OFF
USER PIOR LER VOZ ALGUÉM EXORCISA CARAI,OFF
USER trabalhar bêbado drogar f né burro passar bosta dizer anteriormente Sinto Igor sintar USER usar crescimento bola frente car inteligente fumar merda tar fuder vida car,OFF
assuntos delicar discutir influência droga USER mesa bar Monark vc cara ruim expressar sóbrio imaginar chapado,OFF
USER pqp Scooby burro burrinho burro,OFF
USERCaraí USER morador rua falar formal kkkk usar arpa falar fluente uso arpa kkkk mendigo cara USER,OFF
Vida USER Capetaa kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,OFF
ver cobrar gostar fudido caralho URL,OFF
artista verdadeiro parasita trazer exemplo pra saber rebolar fumar maconha,OFF
kkkk deus desculoa nao julgar gordo nao senso gente roupa ne adequado pra maneira,OFF
amor casal nardone espécie pai bandido damorte Izabela feliz ter acontecer amor pai USER monstro,OFF
Cadeia nazista mínimo sociedade democrático,OFF
USER Ta pleno Hannah tô feliz bichinha,OFF
Olha moça algum surto demoniaca colocar nome santo senhor imundície de ela Usou bobo corte pra satisfazer espertize tirar proveito sã consciência envolver morador rua pleno século 21em pleno pandemia único propósito ter satisfazer vontade carnal de ela USER USER de esse imundo incrédulo,OFF
pessoa achar q falar q nao importar nao q Fodace vc,OFF
USER Hablemos Traidores Peronistas Salió del Placard URL,OFF
USER USER USER putar parir retardado caralho pensar anime órfão caralho jogo ajudar porra guerra PORRA JOGO COLOQUE COISINHA ANIMESINHO FICA COMPARANDO JOGO tar fácil pai falir doq jogo falir,OFF
USER Amiga cara escroto familia de ele tbm Le thread URL URL,OFF
USER comercial nojento comunidade lgbtkyznopq USER USER errar,OFF
wattpad tar merda achar fanfic 5 agr 30 pqp,OFF
USER How can you be Nigerian and Still gay how URL,OFF
USER USER observação putaria pobre tbm Pq putaria começar casal hetero,OFF
tomar sopinha tomar buceta,OFF
lixo,OFF
USER USER afinal conta afeiçoar diga música dançar verme letal satânico faminto URL,OFF
PUTAQUEPARIUUUUUU Angels Like you cabar cmg,OFF
USER canalha covarde,OFF
USER ridículo eso muestrar fue planear un principio lo las tlayur del AIFA,OFF
praga carai,OFF
USER fiquei pena Monark mundo hoje tomar cuidado falar normal pessoa falar merda programa vivo alcance ta esperto USER USER ta ai pra acabar ser ideologia lacração de eles,OFF
USER USER olha mano CUIDADO GALERA ESQUERDISTA LACRADORA VÊEM VC CHAMAR VEADO CANCELAR FACISTAAA PRECONCEITO FEIO HEM USE BOMBA VOCE SO TA FALANDO MERDA,OFF
falar porcario,OFF
inclusivesaudade caralho n aguento comida ruim país,OFF
USER USER existir instituição mundo apoiar pedofilia tática simplesmente diminuir idade representar pedofilia Brasil 14 ano perguntar pq 12 10 8 altamente justificar ideia criança resultar algum estupro sociedade evoluir USER prática homossexualidade padrão sexual relacional correto,OFF
USER USER USER SERÃO USER CHORA USER,OFF
USER cara romantizar imbecilidade Carlos Brazil comando contrataçõesAhhhhh faltar Torcida realmente tq carenteKkkkkkkkkk,OFF
USER USER falar mt besteira grosso USERuem conhecer programa ver USERue jeito de ele xingar menino tbm comédia USERue jornalismo Dar pra perceber USER termo USERue usar apesar ruim pUSER exaltar Ai USERualUSERuer palavra USERuerem processar Ve USERue famoso rico processar USER gente comum USER falar pior ninguém pUSER dinheiro bolso errar criança USERue falar direito pra falar amoroso velho pUSER USER USER USERue pai sao 7 ano ai USERue nao pra ta la,OFF
querer força armar explicar FORÇAS USER provar homem louco insano ficar fácil tirálo,OFF
canal lixo,OFF
flor jardim Deus homem amante mulher gostar By mendigo comedor kkkkkkkkkkkkkkkkkkkkk,OFF
45689que cirurgia porra 20 ano achar ir hospital pedir tratar fimose,OFF
USER falar merda dar em isso,OFF
USER USER aniversário de ele tar otário,OFF
253 vampiro vampiro vampiro USER ashaushaush calar boca porra morri mano kkkkkkkkkkkkkk,OFF
USER adiantar vc aceitar acaso aceitar vc emagrecer olhar adiantar vc falar bonito gordo gordo ruim prejudicar saudade olhar julgar,OFF
USER USER vagabundo chamar,OFF
comentário USER pessoa luz,NOT
USER USER USER persuasivo jogo Chegar top 10 espalhar voto exageradamente acabar q n indispor muito gente consequentemente acabar n ser votar junto eslô lucas esquecir votação detalhe resto de ela foder,OFF
USER nao vida peido capetaaa kkk,OFF
Nazismo casar genocídio matar milhão USER matar hoje matar Deverer Flow colocar especialista falar fazer comparação entender melhor ideologia monstruoso,OFF
porcaria propaganda,OFF
USER Ngm ligar pra velho broxa,OFF
juro moral comentário palavra obsceno ofensivo cheguei BK passar sentir cheiro fast food ir ânsia esperar passar horrível diabólico,OFF
USER USER USER USER haver argumento burro partir insulto ser acéfalo afinal argumentar urso,OFF
galera bando criança mano acordar mundo grito USER tar certíssimo,OFF
votar cara presidente vergonha falar arrependido observeer possuir traço egoísta autoritário realmente deputado nojo roubalheira PT observei em ele justiceiro USER USER presidente colocar amigo filho função favorecimento pessoal presidente interessado combate covid líder nação jogar corpo falar q responsabilidade prefeito governador presidente responsabilizar q falar de aí morto presidente birrento educado q errado vitima situação difícil compreender,OFF
mudança inferno arrumo arrumo p colocar,OFF
USER falar amiga segundafeira best lacrador ja ta rezado bicha falso,OFF
USER atenção atenção ler corno,OFF
USER arranjei estúpido,OFF
USER q odio so d ler porra fuder otaria,OFF
USER Fiz vídeo Instagram responder Zé Maria JP aonde falar coisa política fazer ser inocente Canalha trampolim pra corja esquerdista atacar URL,OFF
serio impasse porra ja to ver morgado la mt ruim,OFF
nojento mídia foco explorar canalhice de esse querer ser alguém família pessoa explorar audiência Marmota,OFF
prestaron cuneta flow y tengo mejor idea q verme l o show del Lolla porq el arrepentimiento solo va,OFF
soltar papagaio ficar cair porcaria quintal hora,OFF
nazismo significar matar pessoa literalmente Nazismo dignidade pessoa humano Nazismo pensamento pessoa USER USER,OFF
