mensagem,odio
esquerdista ordinário safar,1
Bachelet comer toco PT caladinha,1
safada vergonha Velha asqueroso,1
catar,1
Lixo ideológico,1
camarada tinhoso dimal vir acabar começar criticar falar reino pessoa agir imbecis vampiro,1
dever pena próprio ignorância,1
VagabundaOrdinária,1
maldito quadrilha PT ver,1
Vou mandar óleo Peroba pra presente,1
mulherzinha cara pau,1
corrupta conivente desgoverno anterior,1
dia ficor admirado cara pau elite dominante mundo ir otário,1
Vá pena puta parir corrupto,1
piada gente,1
comunista ladrona padrão PT pissol PCdoB LULAPRESIDIARIO DILMATERRORISTA,1
Bachelet esquerda Hipócrita América latino Pergunte pena Cuba Nicarágua Venezuela,1
catar cuidar paíso Brasil cuidar,1
canalha vagabundo amigo ditadura,1
gentalha tirar vítima derrubar Coitados Deus Deus,1
TONTA SAFADA,1
mentirosa enganador,1
Cachorra safar Brasil tar direção,1
eu ehr similar moça ficar rodovia trocar serviço tirar,1
,1
aff ransor de esse corrupto,1
Bandida esquerdopata,1
Senhora Michele Bachelet respeito merda,1
Velha cretino cuidar paísah pro inferno ruim,1
Toma distrair,1
Velha idiota comunista corrupto,1
Demagoga locupletar dinheiro propina,1
bandido igualmente presidiário cachaceiro Lula,1
pena ser época General Pinochet lamentavelmente deixar sobrar resquício desgraça,1
cair Brasil precisar,1
tar revelar corrupta governo gente tar realmente ver honesto prestar,1
FalouBacheria Brcelet ser querer chamar raposo velhaco,1
Bandidona pilantrona leitinho acabar,1
Hipooooooócrita senhoura,1
Exato escrota,1
pilantra,1
farinha saco nojo de esse político,1
senhora currupta igual amiguinho PT,1
aparecer Internacionarizaram propina corrupção pena Brasil pena de ela afinal ficar recurso ilícito,1
Devolva dinheiro,1
Pq SAFADA igual 9 dedo,1
Terrorista FDP,1
noção Brasil corrupta,1
pena senhorinha,1
Houve Brasil receber milhar chileno vir arrumar emprego Brasil brasileiro receber braço abrir mundo esquecer rápido outro comunista achar tremenda corrupta,1
TINHA PENA BRASILEIROS MORRERAM CORREDORES HOSPITAIS PÚBLICOS CAUSA ROUBALHEIRAS CURRUPTOS VELHA CANALHA PAE ESQUEMA Á OAS,1
nojentar,1
oq vc pensar comunista corrupta vc dever cadeia,1
Enfia pena rabo velho nojentar,1
único esquerda rosnar,1
OQUE BACHELE FALA KKKK PESSOA ENVOLVE MARACUTAIA ROUBAR PERDE PRONTO ACABOU,1
cuidado quintal próprio casa sujo dinheiro propina,1
resposta senhora dinheiro devolver VA LASCAR esquecer BRASIL ir cuidar problema,1
JA DIZIA SANTO JOÃO BATISTAHIPOCRITAS RAÇA VIBORASENDIREITAI CAMINHOSO Messias,1
mostrar compaixão devolver dinheiro receber MOLUSCO,1
safada Dinheiro gostar né pena roubar Brasil,1
ah tá penaDiz vim doar alimento roupa asilosorfanato desabrigar hospital conta propina receber lugar deficiência Tudoisso PR mandar vênus,1
penascom,1
OH BACHELET RECEBEU PROPINA OAS BRASILEIROS PATRIOTAS ESTAMOS ENTENDENDO TRISTESA ACABOU MAMATA CANALHAS,1
pORCAr LODO,1
Brochelet cara corrupta quadrilha lulaladr,1
Secou fonte pilantra Devia cadeia esquerdista cara pau,1
aCABOUr MAMATAAA,1
Velha ridículo bandida porca,1
CLARO PENA JUNTO LULADRÃO SUGARAM DEVERIA VERGONHA CARA DEVOLVER DINHEIRO LEVOU,1
esquerdopatas mentar virar verdade lema de ele,1
SENTE PENA REMUNERADA PRA ISSONÃO PRECISAMOS GENTE SINTAM pENA PAÍSE AFASTEM DELE DINHEIRO,1
muito hipocrisia propina,1
Ta pena Devolve propina,1
comunista hipócrita nojento lixo,1
DEVERIA DEVOLVER DINHEIRO COFRES PÚBLICOS Brasil,1
canalha,1
pagar pra sentir pena contribuir usufruir roubo,1
imbecil falar cachorro cagar mesmo,1
vergonha,1
esquerda asqueroso corrupto,1
cara CÍNICA,1
zambelli senhor pena Brasil sangue mão nação dinheiro corrupção matar cidadão dinheiro desviar segurança saúde educação gente classificar genocida acabar nação inteiro ideal ficar rico dominar pessoa escravos dir mau terrorista terrorista matar nome religião justifique chegar pior corrupto safar Deus livre cambada articular integral destruição,1
Propineira pena pq mamata acabar,1
pena pq tar receber propina bandida,1
cala boca vaca velho Venezuela,1
bandido organização criminoso luladrao aceitar presidente Bolsonaro bom aceitar dóir,1
coitada credibilidade nao,1
lixo heim,1
Mande nojentar pra Cuba,1
atuar precisar postura comportamento,1
propina receber OAS pena receber,1
vagabunda ordinário velho dó capeto cuidar bunda velho esclerosado,1
pena Brasil Cuba ininteruptamente tentar interferir democracia Amiga comunista sujo Amiga Fidel Castro rato ditador assassino hoje ocupar cargo ONU condizr caráter convicção político,1
BRASIL BOLSONARO VENEZUELA LIXO,1
ladra morfético,1
Barchelet catar coco Esquece,1
DONA BACHELET SENHORA DEVIA PENA VERGONHA CARA VIM ROUBAR DINHEIRO BRASILEIRO VERGONHA SENHORA BACHELET,1
Brasil ser saquear PT,1
Safada ONU valer,1
vagabunda dever pena propina levar tirar hospital inteiro Brasil,1
esquerdista inferno,1
sai vaga vagabo,1
safada caráter,1
171,1
enfie pena de ela devolva dinheiro,1
ja quadrilha,1
Hipócrita senhorinha Bachelet,1
vergonha tratar País Bolsonaro,1
velho escrota MERDA,1
devolva propina parar meter nao chamar brachelento,1
vagabunda roubar Brasil tar pena ir fuder,1
pena roubar Brasil quenga velho,1
conhecor vagabunda,1
pilantra vadia,1
devolva dinheiro,1
vagabunda fingir,1
Bachelet pena de ela receber dindin imposto Hipócrita corrupto,1
Hipocrisia Pura,1
Veia safar,1
pena de ela exatamente pq receber propina,1
,1
Vagabunda Cala boca imundo pra falar País,1
Velha vergonha vagabundo,1
precisar pena ninguém desqualificada guarde muito pena pra se mesmo,1
fonte secar propininha,1
comunista Voces achar igual ladrão pt,1
mulher babaca cuidar Chile estúpido,1
pena Brasil qué ser pensar corrupta tentar pessoa íntegra correto passar vigarista,1
ser querer devolver dindin propina,1
lixo pena propina andar ganhar ilicitamente,1
Percebem bandido gestão convidar trabalhar ONU ser,1
Bruxa ladrar dozinferno,1
HIPÓCRITA,1
bandida defender colega bandidagem,1
canalha esquerdopata brasileiro precisar condolência bandida,1
mau pai,1
pena vc devolva,1
Devia pena pq parceria corrupção,1
mulher nojentar,1
desonesto meter sela,1
pena milhão conta tranbiqueira,1
opinião de ela procurar turma,1
dissimulada mamata acabar Governo Bolsonaro colocar devido lugarSemcorrupção bandidagem chorar,1
né dinheiro OAS esquecer pena Brasil cínico,1
velhinha safar senil alguém faça gentileza calar canalha suportar cara de esse hipócrita Bachelet Macron Maduro petralha,1
vagabunda falar,1
cara bandida,1
pena Brasil saudade Bagaçeira,1
abstinência propina criar pena kkkk,1
Pq PILANTRA LULADRÃO DIMANTA,1
perguntar opinião de ela interessar VAZA OMELETE PODRE,1
Deixe hipocrisia comedor propinaVocê tá sentir dir cair conta,1
idiota precisar pena de ela,1
leguar pena de ela fazer travesseiro pra conseguir dormir aceitar dinheiro sujo,1
viver comunismo triste hora dinheiro acabar trabalhar,1
mulher idade dever aprendir vergonha cara,1
esquerdopata imbecil conseguir ouvir Chile terra,1
Q velho ordinário Esquerdalha mesmo face,1
SSA senhora defender PT NOJO,1
sujo adorar dinheiro alheio,1
vagabundo,1
feio cuidar casa,1
galinho Pena Q,1
Clínica esquerda demoníaco,1
velha gagá FDP,1
falso heinAcabou Mamataquer dinheiro ir trabalhar,1
espuma Ficar muro vento soprar biruto,1
LADRA,1
Hipócritavai procurar turma BRASIL precisar pena,1
Receber propina envergonhar Bachelet,1
cara pálido devolver dinheiro propina Brasil,1
Nojenta Lava boca pra falar presidente,1
ah tá pena Devolve dinheiro,1
pena mulher feio caráter duvidoso,1
louco falar,1
dispensar pena sra Michele BacheletTemos Misericórdia pobre espírito manipular pobre,1
receber dinheiro ilegal propina imposto suar Hipócrita,1
pena pq boquinha secar né socialista merda,1
Coitadinha ninguém ligar pra,1
Hipócrita Esquerda,1
ouvir sujeita de esse falar sinal estar certo gostar Brasil receber mesada dinheiro fruto roubo,1
Tenha pena mesmo imbecil,1
ninguém preocupado pena de ela bom cuidadar pai de ela,1
Otária BABACA,1
achar bacano socialismo morar Venezuela Cuba Coreia Norte Hipocrisia,1
vagabunda safar,1
cínica ficar falar abobrinha,1
típico gente cara pau,1
ter pena qndo tirar hospital Brasilpra continuar defender bandido,1
caso polícia FBI CIA vigarista ladra igual DILMA CRISTINA KIRCHNER ARGENTINACRIME ORGANIZADO,1
pilantra comunista oportunista,1
Bachelet fazerSugestão vau catar coquinho,1
vaca véia mau sentido palavra,1
cuidar quintal gente cuidacorrupta,1
comunista vagabundar,1
Cretina Hipócrita,1
BANDIDA,1
Pq safada,1
Pq criminoso foro Paulo,1
cara horroroso senhora,1
defender Lula igual elecorrupta,1
esquerdista cara pau bastar Brasil,1
pena Brasil dividir população brasileiro propina receber OAS,1
bandida safar comunista corrupta Brasil Lixo,1
revelar podre de esse ladrão pátria algum falar,1
puta dó Venezuela,1
Penalizada Venezuelano envergonhar receber propina,1
LIXO Lixo iDIOTA,1
ONU mau esquerda mundo atualmente,1
vergonha mundial moral pra falar Brasil,1
Velha canalha,1
Vagabunda vergonha,1
bandida corrupto ta falar presidente velho idiota,1
dindin pra acabar,1
Corrupta formiga ladrão ONU,1
ridículo ter pedir desculpa presidente,1
sério Engraçado invadir Polônia Nazistas comemorar invasão Fascista falar né,1
celebrar morte milhão judeu estúpido nojento,1
NAZISTA SAFADO FILHO PUTA DOUTRINAR CRIANÇA PUTA PARIU,1
doente invasão Polônia marcar início guerra mundial milhão pessoa matar torturar,1
doente achar motivo Comemorarnão cansar passar vergonha achar aula you tube funcionar,1
inteligente pista kkkk galera contar saber ser burra guerra opis,1
gente burra ato solene comemoração ato lembrar fato homenageiar refugiado Polônia Brasil pesquisa falar merda,1
lamento pequenez,1
comentário gente perceber normal esquerdopata ser né,1
Brasil tornar ditadura corrupto estar assistir congresso desrespeitar executivo STF fazer barbaridade pra soltar bandido culpa culpa brasileiro inerte casa ficar marcar encontro domingo sol corrupto vâo tomar vergonha cara punir comessar pensar greve país parar verdade acontecer ir ficar assistir vergonha chegar impunidade poder presidente congresso câmara vergonha,1
tomar cu miliciano inveja PT,1
NAZISTINHA ESCROTO CARALHO,1
pai safado,1
Lula dar pé bunda ummonte mulher governo de ele pra acomodar homem velho indicar 2 ministro homem STF falar igualdade kkk eleitor PT entender impor igualdade privilégio viver kkkk vc jurar PT defensor ditador ditadura partido democrático kkk,1
cara morar prisão,1
Eduardo moleque,1
Colonialista merda,1
bosta pai ficar demorar pra vetar abuso autoridade pra mandar exercito congresso bosta coisa,1
Sugestão Bolsonaro convoquar Forças Armadas fazer invasão Amazônia Expulse ONGs estar ilegal Grave queimada garimpo ilegal índio contrabar pista aterrissagem clandestino Grave Convoque cadeia rede nacional horário nobre revelar adiantar esperar honestidade setor derrotar último eleição Aja perder controle ação Cadê militar estudar estratégia aprendir articulase país insurreição governo Napoleão esperar chuva passar ataque Waterloo dia seguinte perder batalha alô perceber estar préconvulsão social dado indicar tentativa derrubada governo Saco ir ficar postar texto acabar ficar repetitivo articulação esquerdista ganhar terreno,1
família Bolsonaro apostar farinha msm saco macron atear fogo Amazônia pra atacar governo ir preparar bendito ser nação temer Senhor Macron va f,1
capita querer comer cusinho chamar,1
postura criança ensino lacracao criança usar shortinho dançar funk ameaçar professor sala aula esquerda incentivar último 15 ano,1
lindo gente conhecer Políticos LADROES IMAGINAVAM EXISTIAM TANTOS saber entrar alguém exercito dar dar tirar verba Vagabundos SOBRAR BRASIL MULAS FALAM ESQUERDA DEUS BURRiCES VENDO REALIDADE ACEITAM CRIMES INVADINDO RESPONSÁVEIS BRASIL ACORDARAM NINGUÉM VIROU P ESQUERDA FINGIRAM NAIO ENTENDER BANDIDOS AGINDO JUNTOS 0S BANDIDOS ESQUERDA PCC VIU MULAS QUETEM FOCAM BRASIL,1
ninguém quebrar mesa né vazar de aqui playboy filho puta,1
muito saúde João gordoma misturar gente vc contaminaesses petralhar prestar,1
presiBozo p manicômio Fdp,1
né cara dó,1
instruir Caia ñ pessoa vc,1
Vc ñ cair Va seguir jegue,1
pra competencia Ô Medão,1
cara trabalhar,1
João traidor movimento,1
realmente handrade kkk lembrar slogan campanha Lula Haddad Haddad Lula hahhahaha condenado,1
Coitado Jão gordo fracassar,1
mulher vc casado Alguém mulher homem normal amado amargo triste focado levar elevar derrocar fia gastar precioso procurar boy negar daí perder inventar coisa mentir descaradamente dmsegar vc idoso caldo,1
Vou verme,1
RIDICULO BABÕES ATUAL PRESIDENTE VIR HASTAG BURRO HOJE GOVERNA PAÌS,1
baiano voltar desgraça PT graças Deus libertar praga Bolsonaro verdadeiro presidente bom Brasil Chupa esquerdalhas Lula quadrilha estirpados política Brasil parabéns prefeito governador,1
informar narrativa pegar exatamente democracia Brasil lutar encontro ditadura desgoverno comunista vir falácia barato esclarecido saco cheio PT,1
programa Lula Sugestão nome Sol Quadrado,1
difícil escroto,1
ai roubar prefeitão sPkkkk,1
aproveitar regime fechar tar porta,1
presidente vcs condenar Caixa 2s,1
Amazônia professor pra limpar agenda pra focar emergência algum útil voto país precisar dar palestra entrevista Amazônia queimar Pq vcs encontro g20 representar Brasil bozo servir pra Bate porta falar vir ajudar campanha Façam algum útil porra,1
comentar condenação péssimo gestao frente prefeitura derrota novato Joao Doria ignorante xucro JB,1
abaixo twiter Dinesh DSouza criança principalmente menina branco nórdico trança bochecha vermelho ser frequentemente usar propaganda nazista velho técnica Goebbels progressista hoje aprender jogo esquerda anterior década 1930,1
esquerda precisar unir pra mudar rumo situação país país ser destruir demente presidente dor desolação destruição Amazônia precisar tomar algum atitude monstro precisar derrubar,1
Kkkkkkk condenar caixa 2 pqp nao,1
condenar 45 ano Caixa doiskkkkkkkkkk,1
Aoooo Caaixa 2 kkkkkkk,1
dor olho Haddad dou conta poderíar têlo presidente intelectual professor simplicidade incrível acima humano invés lunático despreparar incapacitar intelectualmente ditatorial autoritário fascista desrespeitosoafff continuar ficar 3 dia adjetivar besto fera,1
hora morar LULA tar chegar,1
ansiso pra grade,1
falar besteira idiotice porcaria,1
doente,1
Manuela Imaginei vc ser inteligente pequeno ter empatia á Roraima passar venezuelano fugir fome remédio Imagina quantidade venezuelano preferir deixar casa pra país estrangeiro morar rua submetir situação deplorável enxergar mundinho comunista Parabéns HIPOCRITA,1
gente aguento palhaçada cara gente achar engraçado Ridículo Vergonhoso,1
imbecil cansar falar asneira,1
bolha falador merda passar limite so5de nascer,1
pior falar monte asneira bando asno chuva estrada frio porra pra ouvir idiotice bater palma,1
miliciano fdp,1
vitória esquerda Argentina cocô RACISTA parar sair dia trancar,1
moral parar sensatez Kirchner esquerdo corrupta pra caralho,1
puta parir Imbecilidade Dele elegeu,1
Aja paciência ouvir babaquice ouvido pinico uff,1
conseguir falar prestar cara Senhor,1
interdição praga,1
Manu ataque Bozonarianos vc certo notar lixo humano literalmente cagar preferir Venezuelanos Hermanos doido votar maluco fascista miliciano família bandido,1
profeta estúpido preocupar turma Tramp manipular eleição,1
ser q Bozo filho tb fraudar eleição Argentina,1
merda ambulante,1
PPELO AMOR DEUS ALGUÉM CANCELA CARA GENTEEEEE ALGUÉM VOTADO ESTRUME VACA PODRE,1
Borsa bosta,1
restar aceitar Sr Caga boca,1
certo monte argentino faminto invadir,1
lixo vomitar bosta incapaz,1
vivo esquerdalha,1
certo Cristina eaquerda falar super corrupta mau Macri Bostonaro,1
peste falar merda,1
Q merda Ah Bozo abrir boca,1
moço triste sujeito anormal,1
Hahahaha Sofrendo respeito foda,1
Manuela resumo prestar mundo prestar desserviço sociedade brasileiro Pegue coisinha saia mansinho,1
quanta besteira dizer imbecil,1
aguentar nojento,1
desrespeitar país Norte Sul Ponham homem pra ser digno posto ocupar,1
terrorismo preconceito RORAIMA,1
ficor palavra pra loucura pessoa,1
Pensei crazy conhecer bolsofurado bolsofã de ele sã gostar,1
LIXO COMPROVADAMENTE,1
besteira vir boca insano,1
pra mercado conhecer tamanho desastre acontecer caso Macri vencer eleição massacre moeda argentino hoje mundo tolerar fracassar tolerar esquerdista bandido Deus salvar Argentina hoje recado planeta terra,1
burro,1
abrir boca dia nenhumIdiota d presidente,1
engolir esquerdalhar,1
presidente louko,1
cara louco Bozó,1
Senhor terrível,1
Mimizenta caralho Roraima haver pessoa fugir pro RS regime esquerda acontecer Roraima Saber torcer pra dê merda dia vejor presa,1
asneira,1
imbecil ver habilidade estáTruculento burro suscitar asco,1
cansar chamálo IMBECIL,1
Deputada massa cinzento fazer separar par orelha constituição manifestação livre ser fazer local público independente autorização Artigo QUINT0 parágrafo XVI Fale lisura parar mentira,1
burro doi,1
perguntem quanto voto energúmeno Roraima poderer compreensão sentir liberdade atrocidade pudor,1
Boçal abrir latrina espalhar merda,1
imbeciloide homi,1
Oh diabo doido,1
falar esquerdalha brasileiro ser centena milhão brasileiro pensar diferente sujeito,1
perder voz né afff,1
ERRO DIZPORQUE VERDADE NAO CAGA BOCA,1
Boca Lixo Tóxico,1
doente dever hospício,1
poder arrumar bosta,1
elemento falar frase insultar desprezar desmerecer algum mulher criar criatura,1
vaca falar concatenar vogal,1
Mi mi mi mi mi mi mi mi Vc vergonha representar RS,1
meliante falar bosta,1
Hahahahaha olhar droga normal,1
pq impressionor quantidade ódio espalhar,1
Venezuelanos correr território brasileiro pedir socorroe esquerdista pensar apoiar filho puta psicopata Falei,1
babaca brincar Argentinoso cara arregar Inglesesta querer arrumar treta país vizinhose achar,1
Xenofóbico de aí Taoquei,1
cara trocar boca fiofó,1
achar cocôpq apoiar acordar perceber mitar matar vergonha,1
especialista dizer torcer eleição Cristina kirchner Alberto Fernández Bolsonada ameaçar eleitor livre Argentina vergonha imprensa descarar burlesca,1
imbecil Cavalo freio,1
olho doir leio oq bobão falar socorrrro,1
demônio falar merda,1
louco maluco,1
droga andar consumir Pqp,1
cara conseguir ninguém chocar merda sair boca de ele ninguém aguentar país comandar lixo humano apoiar 29 maluco,1
nojo homem,1
esperar NAZISTA,1
Gente moral Fodase asneira débil falar ir parar Ibope,1
cavalo batizar Jordão falar merda,1
Kkkkk argentino tapar Minions Brasil viver eguagem verme,1
engraçado cara aparecer fantástico sumir bloquear comentário rede social manipuladora,1
CALESE BOZO,1
panaca falar brasileiro norte imbecil,1
Bozzolino Christina ir volver,1
Venceremos direitalha percar esperança,1
falar merda realidade,1
Real 16 dólar 65 hj dale Macri burro caralho,1
achar sul elegeur imbecil tomar,1
Argentina Macri 50 inflação Bozo asnor falar Argentina tar rir cara Bozo pedir pra ficar calar,1
imbecil inepto,1
Pqp apoiar Cristina ehr q vcs n cerebro Soh cm probabilidade eleicao de ela bolsa cair 28 BC aumentar juro pra 74 aa alem esquema corrupcao mulher ehr suspeito colocar argentina crise absurdo q vcs n pensar n eh possivel,1
q esquerda ehr doente maduro Cristina doença,1
homem ridículo noção ar paciência p ouvir asneira,1
cara evacuar boca,1
Ridículo mentiroso nojento abjeto,1
cara imbecil,1
ir passar 4 ano ouvir bosta,1
estimular ódio ar poluído presença criatura maléfico,1
mau abraço pro Machos beijo Mulheres Escroto,1
cagar bolsadefez,1
Sul ja ta lixo fascista eduardo leite,1
bostonaro desconhecer soberania autonomia povo ser achar país civilizado apoiar candidatura,1
ameaça louco,1
respeita presidente eleger voto Olha preço gasolina Pequena comparação recalcar,1
olho sagram besteira sair boca,1
cm Brasil tornar Venezuela metodo governo ja ditador oprimer adversario presidente achar cabecinha de eles so ideia genial so merda,1
querer esquerda vencer Argentina argentino fugir RS venezuelano imigrar Brasil Roraima Logicamente imbecilidade,1
merda inaugurar obra jamais fazer incompetência inaugurar obra participar invés saudar falar merda Horrivel escroto,1
esquerda teimoso esquecer lixo Deixar falar ninguém ligar pra jeito achar Queiroz calar boca vcs ficar dar audiência pra idiotice,1
Manucomo pra tirar monstro governo Dwpois tanto fala escrotasele ficar assimfazer falar Atacar ninguém pra tirar de aí,1
Pensei ir seguir dica cagar dia dia visto dia cagar chamar boca,1
cara so abrir boca pra falar merda calate,1
cara conseguir passar dia merda,1
Bozo n de ele presidente q meter país,1
Daqui brasileiro migrar pra lugar migração massa governo ridículo autoritário idiota,1
dia impeachment senhor dar,1
Adorei dever abrir boca,1
achar q comentário dia dia dia diarreia verbal tar difícil,1
presidente tosco história,1
traste pensar Brasil quintal casa de ele Aff,1
cara idiota,1
amiga vc ver merda,1
dera gauchada retrógrar abrir olho peão achar fazendeiro,1
campanha pra Argentina tb gado de ele votar,1
mãe de ele ensinar poder comer próprio fez Dar nisso boca moldar formato ânus,1
ranço estocador cocô entender querer Roraima população problema imigrante venezuelano errar governo esquerda Argentina fazer fácil gente emigrar acontecer,1
Maldito congresso Nacional cheio comunista,1
Vou filosofar cocô sair ânus jeito pessoa congresso acumular cérebro,1
NAO CADEIA NEN PRA VAGABUNDOS PRA FAS FAKE NEWS CARAS DOIDOS,1
loucosRevisão Código Penal URGENTE,1
513 cabeça pensar merda pra eu Brasil precisar 175 deputado 54 senador,1
ser Bandido defender bandido,1
q prender petista psolista pcdobir etc,1
convicção esquerda dar tiro pé modus operandi fake News típico esquerdalhada,1
consiger intender força demônio Tá hora botar lixo pra,1
tao esperar q p fechar puteiro,1
congresso valer gato enterrar,1
Deixar esquerda pra cadeia eleição,1
sirva pra esquerdo propulsora fakenews último eleição Denunciar canalha esquerda mídia podre,1
mandar Pais Votamos pra presidente decidir corja merda pilantra,1
vergonha nacional congresso podre turma CANALHAS,1
faltar cadeia pessoal Pt Psol,1
QM temer COMUNISTA NAZISTA AGE IGUAL ACABEI LEMBRANDO D MADURO CUBA,1
disseminar fake news ptfake,1
gente ir deixar Haddad contemplar resto esquerda cana viver publicar Fake News,1
vergonha cupar ELEGERÃO,1
Tá saída Satanaro fugir podes passaporte apreender avião presidencial usar pra fugir dia golpe 08 janeiro Éeeee casa cair pra familicia,1
CORJA MALDITA,1
Prisão dever p Ladrões,1
projeto traíra Kim,1
verdade congresso nacional verdadeiro FAKE NEWS,1
mandar eleger merda,1
faltar cadeia kkkkk,1
Vejo negócio ficor puto cara exército entrar ação canalha fuder Brasil brasileiro indignação tremendo triste,1
Engraçado coisa aprovar rapidamente pesquisa milhar processo gente comum pessoa humilde aguardar decisão de esse juíz foco de ele livrar bandido político ser prender continuar presos,1
bandido corrupto desgraçar,1
Vao procurar aprovar coisa importante mequetrefe cara pau,1
eleição PT extinguir viver mentira,1
PT Lula Ladrao falar verdade,1
perde Carla notícia verdadeiro válido correr risco esquerda inventar eleição,1
pra botar pá petezar cadeia,1
gostar caír bomba STF,1
CONGRESSO LIXO,1
Governo pulso Frouxos,1
cara prender bandido ladrão assassino prender compartilhar fake news ai rir imaginar julgamento 200 instância STF kkkkkk país desgosto melhor dizer esgoto,1
pq merda votar rapidinho coisa importante,1
Brasil viver calamidade instituição estao tentar privilegiar elite bandido político Sinto nao mao recorrer senao militarestriste,1
poder compartilharComo ir mentira verdadeEu disser esposa Macron feiaeu punidaé FAKE,1
esquerdalha fábrica fake News Mestre nisto,1
ESQUERDISTA cadeia preparar globo lixo,1
julgar esquerdopata Saber rei FakeNews,1
presa,1
Vixe PT enjaular fábrica fake News,1
grande produtor fake news PT G1 Uol ser punir,1
congresso Vergonha Nacional salvo belíssima excessoes,1
corrupcao matar milhar brasileiro roubalheira dinheiro,1
jornaleco plantão dever todps presos praticar fake news governo Federal especialmente Presidenteafff,1
verdade Bolsonaro governar continuar mão esquerda maldito,1
mandar Congresso STF visto mau esquerdalha comemorar dizer militância Bolsonarista propagar fake news tempo,1
Disseram haver renovação mandar cacique corrupto,1
poderíar esperar de este bandido salafrário ladrão,1
presidente servir pra PORRA so pra tomar pau imprensa pq hora so tomar cabeca,1
Globolixo fechar publicar fak,1
país banana bar canalha,1
Hora prender jornalista globo UOL etc,1
Deram tiro pé espalhar fake news Ós comunista ptistas psolistas iiiista nao criemos pânico,1
bando canalha,1
congresso reunião marginal,1
Haddad prisão perpétuo,1
congresso lixo,1
Alguém parar desgraça STF,1
falar intervenção militar ficar mi mi mi motivo né,1
LIXO cONGRESSO,1
vcs valer presidente algum,1
Congresso mostrar bandido,1
putaria,1
Fecha STF merda,1
Ridículos Deveriam dar andamento PRISÕES DOD CORRUPTOS fizer ter FAKE NEWS TRABALHA DIREITO CONGRESSO PACOTE ANTI CRIME ESPERANDO VOTAR TRM MUITA GENTE BORRANDO CALÇAS NÉ PPR NAO PRA FRENTE REALMRMTE INTERESSA BRASILEIROS Affffffff,1
lei cuidar,1
derrubar congresso STF Brasil ser derrubar,1
vejor problema esquerda sustentar fake News,1
congresso cão,1
gritar pegar ladrão frente congresso estrutura físico mudar exceto Zanbelli,1
prender turma lula passar dia soltar mentira caso mente,1
ser iram prender militonto esquerda,1
Lixo congresso senado STF,1
prender HADDAD nÉ,1
FDP DEPUTADOS SENADORES TRAIRAS,1
colocar cadeia,1
petralha tar fudido,1
PTista fuderao,1
brasileiro unir tirar bandido estare preso comer lagosta dinheiro congresso lixo,1
pena pra falar News 2 8 ano prisão pena pra matar alguém atropelar acidente trânsito pra prender intencional criar lei duro pena interesse de ele desgoverno legislativo brasileiro,1
Absurdooooo ir parar solução pra vergonha chamar CONGRESSO NACIONAL dever defender interesse defender PRÓPRIOS interesse,1
Eita petista presos bambam,1
Oq comunista postar VERDADEIRO Oq postar FAKENEWS,1
partido partido presidente critério cair julgar ver pt faknews ninguém candidato pt véspera eleição aprontar,1
